l,size,n_eis_members,persistent_pairs,breaking_pairs,min_break_prime,pair_classes,conductors,members
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[650, 7150]","['650l', '650m', '7150w']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[666, 3330, 4662]","['666g', '3330r', '4662p']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 3}","[675, 1350, 9450]","['675g', '1350g', '9450bk']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 3}","[675, 1350, 9450]","['675h', '1350r', '9450dh']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[681, 2497, 5675]","['681e', '2497a', '5675a']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[684, 3420, 8892]","['684a', '3420a', '8892g']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[690, 7590, 8970]","['690d', '7590e', '8970d']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[700, 7700]","['700b', '700g', '7700c']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[700, 7700]","['700i', '700j', '7700k']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[704, 3520, 9152]","['704h', '3520t', '9152r']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[704, 3520, 9152]","['704l', '3520ba', '9152bc']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 1, 'P2': 2}","[714, 1190, 3570]","['714b', '1190b', '3570e']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[720, 5040, 9360]","['720a', '5040c', '9360d']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[720, 5040, 9360]","['720b', '5040f', '9360h']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[720, 5040, 9360]","['720f', '5040x', '9360y']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[720, 5040, 9360]","['720g', '5040bb', '9360bd']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[722, 1083, 3971]","['722c', '1083c', '3971b']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[730, 1898, 3650]","['730h', '1898a', '3650l']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[738, 3690, 9225]","['738a', '3690b', '9225d']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[738, 5166, 8118]","['738d', '5166m', '8118d']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[738, 3690, 9225]","['738e', '3690n', '9225h']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[754, 2262, 3770]","['754b', '2262c', '3770c']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[768, 3328, 6400]","['768b', '3328b', '6400b']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[768, 3328, 6400]","['768d', '3328d', '6400d']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[768, 3328, 6400]","['768f', '3328k', '6400n']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[768, 3328, 6400]","['768h', '3328g', '6400p']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[774, 5418]","['774i', '5418q', '5418r']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[784, 2352, 3920]","['784a', '2352a', '3920a']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[784, 2352, 3920]","['784d', '2352h', '3920l']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[792, 3960, 5544]","['792g', '3960t', '5544w']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[795, 1113, 3975]","['795b', '1113d', '3975c']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[798, 6650, 8778]","['798c', '6650b', '8778h']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[798, 4522, 6650]","['798d', '4522c', '6650e']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[832, 4160, 9152]","['832f', '4160i', '9152n']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[832, 4160, 9152]","['832j', '4160q', '9152w']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[848, 4240, 5936]","['848g', '4240g', '5936l']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[850, 2550]","['850c', '850d', '2550g']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[850, 2550]","['850f', '850l', '2550bb']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[867, 1734, 5491]","['867c', '1734c', '5491e']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[867, 1734, 5491]","['867e', '1734f', '5491f']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 3}","[873, 4365, 8730]","['873d', '4365d', '8730j']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[876, 6132, 7300]","['876b', '6132f', '7300a']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[906, 2265, 9966]","['906e', '2265b', '9966d']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[912, 4560, 6384]","['912c', '4560h', '6384o']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[913, 2075, 6557]","['913a', '2075b', '6557a']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[918, 6426]","['918a', '918b', '6426g']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[918, 6426]","['918k', '918l', '6426bd']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[924, 7084, 7700]","['924e', '7084a', '7700a']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[925, 2775, 6475]","['925a', '2775a', '6475b']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[950, 2850]","['950e', '2850ba', '2850bb']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[966, 4830, 6279]","['966h', '4830y', '6279g']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[984, 4264, 5576]","['984c', '4264b', '5576i']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1014, 5070, 7098]","['1014a', '5070c', '7098f']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1014, 5070, 7098]","['1014d', '5070s', '7098s']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1017, 5085, 7119]","['1017i', '5085i', '7119i']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1075, 2150]","['1075d', '2150d', '2150i']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1098, 5490, 7686]","['1098c', '5490j', '7686e']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1100, 3300]","['1100a', '3300l', '3300p']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1128, 2632, 9400]","['1128b', '2632d', '9400i']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1158, 7334, 9650]","['1158e', '7334c', '9650j']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1200, 8400]","['1200b', '1200c', '8400l']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1200, 8400]","['1200f', '1200i', '8400z']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1211, 4325, 7439]","['1211a', '4325a', '7439b']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1230, 3895, 7790]","['1230b', '3895c', '7790a']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1230, 8610]","['1230i', '1230j', '8610p']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1275, 2550]","['1275d', '2550u', '2550z']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1275, 2550]","['1275f', '2550j', '2550n']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1325, 2650]","['1325e', '2650i', '2650j']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1326, 3094, 5525]","['1326a', '3094a', '5525a']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 1, 'P3': 2}","[1330, 6650, 9842]","['1330f', '6650c', '9842a']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1339, 1957, 7725]","['1339a', '1957a', '7725i']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1344, 2240, 4928]","['1344e', '2240b', '4928n']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1344, 2240, 4928]","['1344h', '2240a', '4928c']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1350, 9450]","['1350b', '9450l', '9450w']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1350, 9450]","['1350d', '9450p', '9450s']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1350, 9450]","['1350s', '9450dj', '9450dz']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1350, 9450]","['1350u', '9450do', '9450dq']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1368, 6840, 9576]","['1368c', '6840g', '9576k']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1400, 4200]","['1400b', '1400f', '4200n']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[1400]","['1400h', '1400i', '1400n']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1400, 4200]","['1400l', '1400m', '4200t']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1410, 3666, 7050]","['1410f', '3666h', '7050f']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1425, 2850]","['1425i', '2850j', '2850m']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1482, 3705, 8151]","['1482g', '3705b', '8151b']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1485, 2970]","['1485f', '2970i', '2970j']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1485, 2970]","['1485h', '2970z', '2970ba']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1512, 7560]","['1512c', '1512d', '7560g']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1512, 7560]","['1512g', '1512i', '7560m']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1518, 5313, 7590]","['1518i', '5313d', '7590l']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P3': 2}","[1518, 3542]","['1518k', '1518l', '3542n']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1530, 5814, 7650]","['1530a', '5814c', '7650b']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1530, 5814, 7650]","['1530j', '5814m', '7650bi']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1550, 4650]","['1550b', '4650d', '4650h']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1550, 4650]","['1550g', '4650bu', '4650bv']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1599, 3198, 7995]","['1599c', '3198d', '7995d']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1600, 4800]","['1600j', '4800bd', '4800bf']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[1600, 4800]","['1600v', '4800bv', '4800bw']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1638, 8190]","['1638p', '1638r', '8190bp']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1640, 3608, 8200]","['1640d', '3608c', '8200d']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1670, 3674, 7682]","['1670b', '3674c', '7682b']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1682, 5887, 9251]","['1682a', '5887c', '9251a']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[1830, 4270, 6710]","['1830i', '4270i', '6710h']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[1880, 4136, 9400]","['1880a', '4136b', '9400b']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[1914, 9570]","['1914g', '1914j', '9570s']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[1936, 5808, 9680]","['1936g', '5808v', '9680y']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[2100]","['2100m', '2100n', '2100r']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[2135, 4270, 6405]","['2135b', '4270f', '6405a']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2156, 6468]","['2156a', '6468m', '6468n']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[2175, 5075, 9425]","['2175h', '5075d', '9425f']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[2256, 3760, 8272]","['2256m', '3760f', '8272o']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2325, 4650]","['2325e', '4650i', '4650j']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2325, 4650]","['2325k', '4650bk', '4650bw']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[2431, 3315, 5525]","['2431a', '3315a', '5525b']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2450, 7350]","['2450f', '7350f', '7350q']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2450, 7350]","['2450bf', '7350cw', '7350cy']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[2550]","['2550o', '2550p', '2550q']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[2550]","['2550r', '2550t', '2550x']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[2600, 7800]","['2600c', '2600f', '7800i']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[2650, 7950]","['2650b', '2650d', '7950t']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2650, 7950]","['2650l', '7950be', '7950bm']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P3': 1}","[2675, 5350, 8025]","['2675b', '5350h', '8025l']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[2678, 3502, 5150]","['2678l', '3502a', '5150j']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[2800, 8400]","['2800b', '2800j', '8400b']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[2800]","['2800g', '2800h', '2800m']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[2800, 8400]","['2800k', '2800l', '8400bf']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2800, 8400]","['2800u', '8400bo', '8400bt']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2800, 8400]","['2800z', '8400cm', '8400cn']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[2849, 4921, 6475]","['2849a', '4921b', '6475c']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2900, 8700]","['2900b', '8700k', '8700q']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[2915, 8745]","['2915a', '8745a', '8745b']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 1, 'P2': 2}","[3010, 4515, 9030]","['3010a', '4515b', '9030b']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P3': 2}","[3030, 7070]","['3030h', '3030i', '7070b']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[3150]","['3150s', '3150t', '3150u']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[3150]","['3150bg', '3150bh', '3150bo']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[3600]","['3600bn', '3600bo', '3600bp']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[3675, 7350]","['3675d', '7350bp', '7350by']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[3675, 7350]","['3675n', '7350co', '7350cx']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[3825, 7650]","['3825b', '7650bj', '7650br']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[3825, 7650]","['3825d', '7650c', '7650k']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[3825, 7650]","['3825j', '7650ce', '7650co']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[3825, 7650]","['3825n', '7650n', '7650be']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[3850]","['3850r', '3850s', '3850w']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[4275, 8550]","['4275j', '8550w', '8550bj']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[4550]","['4550j', '4550k', '4550n']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[4650]","['4650bm', '4650bo', '4650bx']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P2': 2}","[4675, 9350]","['4675g', '4675n', '9350r']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[4725, 9450]","['4725e', '9450c', '9450o']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[4725, 9450]","['4725f', '9450cb', '9450cq']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[4725, 9450]","['4725s', '9450bs', '9450bu']"
5,3,0,3,0,None,"{'EIS': 0, 'P2': 2, 'P1': 1}","[4725, 9450]","['4725t', '9450du', '9450dw']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P2': 1}","[4851, 8379, 9702]","['4851l', '8379o', '9702t']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5100]","['5100b', '5100e', '5100h']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5100]","['5100m', '5100o', '5100q']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5200]","['5200ba', '5200bc', '5200bi']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 2, 'P1': 1}","[5335, 9215]","['5335b', '9215c', '9215d']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400c', '5400f', '5400h']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400j', '5400o', '5400s']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400l', '5400n', '5400v']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400q', '5400w', '5400x']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400z', '5400bg', '5400bm']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400ba', '5400be', '5400bj']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400bp', '5400br', '5400bt']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5400]","['5400bs', '5400bu', '5400bv']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5550]","['5550bg', '5550bh', '5550bo']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[5655, 7395, 8265]","['5655f', '7395i', '8265c']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 1, 'P3': 2}","[5681, 7475]","['5681d', '5681e', '7475g']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[5848, 6536, 8600]","['5848f', '6536c', '8600g']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5850]","['5850i', '5850m', '5850v']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[5850]","['5850bq', '5850bt', '5850ca']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[6300]","['6300o', '6300p', '6300bb']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[6450]","['6450k', '6450o', '6450q']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[6450]","['6450bh', '6450bi', '6450bm']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[6600]","['6600t', '6600u', '6600x']"
5,3,0,3,0,None,"{'EIS': 0, 'P3': 3}","[6700, 8308, 9916]","['6700a', '8308b', '9916b']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7020]","['7020h', '7020i', '7020j']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7020]","['7020n', '7020o', '7020p']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350b', '7350c', '7350l']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350j', '7350k', '7350p']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350u', '7350v', '7350bf']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350ba', '7350bd', '7350bm']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350bv', '7350bx', '7350cf']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350bw', '7350ce', '7350cg']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350ci', '7350ct', '7350cu']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7350]","['7350cq', '7350cs', '7350cz']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7650]","['7650s', '7650z', '7650bh']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7650]","['7650ba', '7650bb', '7650bf']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7650]","['7650cg', '7650cl', '7650cm']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7650]","['7650ch', '7650cj', '7650ck']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[7950]","['7950bn', '7950bq', '7950bx']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8400]","['8400bi', '8400bj', '8400bq']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8450]","['8450s', '8450t', '8450y']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8550]","['8550i', '8550n', '8550r']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8800]","['8800c', '8800d', '8800j']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8800]","['8800h', '8800i', '8800l']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8850]","['8850h', '8850l', '8850n']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[8925]","['8925w', '8925x', '8925bb']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9200]","['9200z', '9200ba', '9200bh']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9450]","['9450bb', '9450bf', '9450bo']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9450]","['9450bm', '9450bn', '9450bt']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9450]","['9450bv', '9450bw', '9450bz']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9450]","['9450cc', '9450ck', '9450cs']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9450]","['9450cv', '9450cw', '9450da']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9450]","['9450dl', '9450dm', '9450dv']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9800]","['9800b', '9800c', '9800n']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9800]","['9800j', '9800m', '9800t']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9800]","['9800r', '9800u', '9800v']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9800]","['9800bg', '9800bm', '9800bq']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9800]","['9800bh', '9800bl', '9800bp']"
5,3,0,3,0,None,"{'EIS': 0, 'P1': 3}","[9900]","['9900q', '9900r', '9900be']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[89, 5073]","['89a', '5073g']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[91, 8099]","['91b', '8099a']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[94, 1034]","['94a', '1034b']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[99, 4059]","['99b', '4059c']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[109, 4033]","['109a', '4033b']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[114, 4902]","['114a', '4902m']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[121, 605]","['121a', '605c']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[121, 605]","['121c', '605a']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[122, 4514]","['122a', '4514b']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[129, 2967]","['129b', '2967c']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[131, 9825]","['131a', '9825e']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[136, 9656]","['136b', '9656b']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[141, 1833]","['141b', '1833a']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[141, 9447]","['141c', '9447d']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[141, 705]","['141d', '705a']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[142, 426]","['142b', '426c']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[142, 8378]","['142c', '8378b']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[142, 3550]","['142d', '3550k']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[145, 9715]","['145a', '9715b']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[148, 5180]","['148a', '5180d']"
5,2,0,1,0,None,"{'EIS': 0, 'P2': 1}","[155, 7285]","['155b', '7285d']"
