type,delta_bits,delta_frac
mod-mismatch,184.8516,0.8636
mod-mismatch,173.2978,0.8182
mod-mismatch,189.2255,0.9091
mod-mismatch,203.7713,0.9545
mod-mismatch,209.6331,0.9545
mod-mismatch,196.0402,0.8261
mod-mismatch,230.2095,1.0000
mod-mismatch,208.5782,0.9130
mod-mismatch,228.4500,1.0000
mod-mismatch,218.6683,0.9565
mod-mismatch,198.2721,0.8696
mod-mismatch,213.5433,0.8333
mod-mismatch,246.2205,0.9583
mod-mismatch,244.4238,0.9583
mod-mismatch,179.9417,0.8182
mod-mismatch,161.9334,0.7273
mod-mismatch,192.6230,0.9091
mod-mismatch,198.5375,0.9545
mod-mismatch,200.1458,0.8636
mod-mismatch,193.7929,0.8636
mod-mismatch,193.7843,0.8636
mod-mismatch,219.1909,1.0000
mod-mismatch,235.8878,0.9565
mod-mismatch,229.8477,0.9545
mod-mismatch,209.7877,1.0000
mod-mismatch,205.8884,0.8636
mod-mismatch,241.2566,1.0000
mod-mismatch,184.3093,0.8636
mod-mismatch,239.2133,1.0000
mod-mismatch,230.4495,0.9167
mod-mismatch,245.9344,0.9583
mod-mismatch,256.3127,0.9600
mod-mismatch,219.0950,0.9545
mod-mismatch,192.3429,0.8182
mod-mismatch,222.0129,0.9545
mod-mismatch,224.8351,0.9545
mod-mismatch,216.7562,0.9545
mod-mismatch,197.0126,0.9091
mod-mismatch,121.8685,0.5000
mod-mismatch,190.7062,0.7727
mod-mismatch,197.7439,0.8636
mod-mismatch,186.5391,0.9091
mod-mismatch,225.4342,0.9130
mod-mismatch,187.6948,0.7391
mod-mismatch,199.5724,0.7826
mod-mismatch,188.2274,0.7391
mod-mismatch,236.7907,0.9565
mod-mismatch,238.5208,0.9565
mod-mismatch,223.8006,0.9200
mod-mismatch,240.3491,1.0000
mod-mismatch,202.4225,0.9545
mod-mismatch,183.3963,0.8182
mod-mismatch,227.3580,0.9545
mod-mismatch,199.8899,0.9091
mod-mismatch,222.1118,1.0000
mod-mismatch,212.2287,0.9130
mod-mismatch,218.4444,0.9130
mod-mismatch,229.8017,1.0000
mod-mismatch,147.9248,0.5909
mod-mismatch,212.3718,0.9091
mod-mismatch,215.8236,0.9545
mod-mismatch,198.5972,0.7917
mod-mismatch,206.0151,0.8750
mod-mismatch,232.4296,0.8800
mod-mismatch,256.0164,1.0000
mod-mismatch,163.6746,0.7727
mod-mismatch,209.6521,1.0000
mod-mismatch,100.9991,0.4545
mod-mismatch,182.9549,0.8182
mod-mismatch,184.4603,0.8636
mod-mismatch,230.1385,0.9167
mod-mismatch,217.8269,0.9167
mod-mismatch,208.9243,0.7917
mod-mismatch,239.7171,0.9583
mod-mismatch,219.6932,0.8696
mod-mismatch,183.0364,0.8261
mod-mismatch,225.7814,0.9130
mod-mismatch,208.2194,0.8636
mod-mismatch,231.1681,0.9545
mod-mismatch,203.9032,0.9545
mod-mismatch,220.7748,1.0000
mod-mismatch,230.8265,1.0000
mod-mismatch,235.6101,1.0000
mod-mismatch,192.2665,0.8182
mod-mismatch,212.7937,0.9091
mod-mismatch,207.7684,0.9091
mod-mismatch,194.1009,0.7826
mod-mismatch,221.8880,0.9565
mod-mismatch,185.9993,0.7826
mod-mismatch,208.0513,0.9130
mod-mismatch,213.2246,0.8696
mod-mismatch,192.9959,0.7826
mod-mismatch,233.3632,0.9565
mod-mismatch,204.8284,0.8261
mod-mismatch,200.7331,0.8261
mod-mismatch,221.3975,1.0000
mod-mismatch,206.8116,1.0000
mod-mismatch,236.3016,1.0000
mod-mismatch,187.4118,0.9091
mod-mismatch,245.6681,1.0000
mod-mismatch,237.3729,0.9565
mod-mismatch,211.2503,0.9091
mod-mismatch,224.5951,0.9545
mod-mismatch,175.5266,0.7727
mod-mismatch,216.8039,1.0000
mod-mismatch,257.3921,0.9600
mod-mismatch,185.0394,0.8636
mod-mismatch,206.0092,0.9130
mod-mismatch,228.0922,0.9545
mod-mismatch,212.7246,0.9545
mod-mismatch,237.2330,1.0000
mod-mismatch,106.1181,0.4545
mod-mismatch,223.2753,1.0000
mod-mismatch,227.4496,0.9545
mod-mismatch,213.4260,0.9545
mod-mismatch,219.8792,0.9091
mod-mismatch,210.9751,0.9545
mod-mismatch,208.0492,0.9545
mod-mismatch,209.7484,0.8333
mod-mismatch,249.9461,0.9583
mod-mismatch,188.8538,0.8261
mod-mismatch,111.9335,0.4783
mod-mismatch,190.6782,0.8261
mod-mismatch,87.7508,0.3913
mod-mismatch,178.7602,0.7826
mod-mismatch,111.6400,0.4783
mod-mismatch,181.3163,0.7826
mod-mismatch,193.9436,0.8696
mod-mismatch,212.6713,0.9545
mod-mismatch,144.5637,0.6818
mod-mismatch,182.4879,0.8261
mod-mismatch,239.9229,1.0000
mod-mismatch,236.7747,0.9565
mod-mismatch,199.0034,0.8261
mod-mismatch,243.7283,1.0000
mod-mismatch,236.2484,0.8800
mod-mismatch,190.7398,0.9524
mod-mismatch,188.8192,0.9048
mod-mismatch,158.8133,0.7619
mod-mismatch,170.6370,0.8571
mod-mismatch,169.4156,0.8095
mod-mismatch,176.5216,0.8571
mod-mismatch,185.9088,0.9524
mod-mismatch,247.9894,1.0000
mod-mismatch,206.8348,0.9130
mod-mismatch,231.5299,0.9130
mod-mismatch,210.9903,0.9565
mod-mismatch,238.6241,0.9565
mod-mismatch,247.8406,1.0000
mod-mismatch,214.3232,0.9130
mod-mismatch,191.5976,0.8696
mod-mismatch,216.7217,0.9565
mod-mismatch,169.9246,0.7727
mod-mismatch,172.3255,0.7727
mod-mismatch,216.8930,0.9545
mod-mismatch,215.9543,0.9167
mod-mismatch,120.8201,0.5455
mod-mismatch,171.1336,0.7727
mod-mismatch,186.1156,0.8636
mod-mismatch,246.2405,1.0000
mod-mismatch,214.3439,0.9130
mod-mismatch,198.3550,0.9130
mod-mismatch,228.5682,1.0000
mod-mismatch,210.1682,0.9565
mod-mismatch,219.9941,0.9565
mod-mismatch,230.8063,1.0000
mod-mismatch,246.4376,1.0000
mod-mismatch,181.0658,0.7727
mod-mismatch,211.7657,0.9545
mod-mismatch,174.6916,0.8182
mod-mismatch,178.9175,0.8182
mod-mismatch,223.0071,0.9167
mod-mismatch,209.7185,0.8750
mod-mismatch,252.4667,1.0000
mod-mismatch,231.7535,0.9565
mod-mismatch,112.2340,0.4783
mod-mismatch,222.3261,0.9565
mod-mismatch,244.4491,1.0000
mod-mismatch,220.8943,0.8696
mod-mismatch,220.8166,1.0000
mod-mismatch,210.9734,0.9545
mod-mismatch,201.8399,0.9091
mod-mismatch,210.6885,0.9091
mod-mismatch,189.3065,0.8182
mod-mismatch,211.9587,0.9091
mod-mismatch,190.9481,0.8636
mod-mismatch,191.4618,0.9091
mod-mismatch,203.0864,0.9545
mod-mismatch,201.8634,0.9091
mod-mismatch,194.8759,0.9091
mod-mismatch,176.4041,0.8182
mod-mismatch,194.0642,0.9091
mod-mismatch,191.4135,0.8636
mod-mismatch,191.0031,0.9091
mod-mismatch,219.7255,1.0000
mod-mismatch,242.1561,1.0000
mod-mismatch,132.9177,0.5652
mod-mismatch,218.2187,0.9130
mod-mismatch,243.3834,0.9583
mod-mismatch,226.9357,0.9545
mod-mismatch,215.5350,1.0000
mod-mismatch,216.9321,0.9091
mod-mismatch,183.0059,0.8571
mod-mismatch,183.5920,0.8571
mod-mismatch,177.1799,0.8571
mod-mismatch,208.9208,1.0000
mod-mismatch,235.2431,0.9167
mod-mismatch,212.1841,0.8696
mod-mismatch,211.9777,0.8696
mod-mismatch,243.8287,1.0000
mod-mismatch,211.9913,0.9565
mod-mismatch,217.5735,0.9565
mod-mismatch,207.7924,0.8696
mod-mismatch,232.6961,0.9565
mod-mismatch,187.7709,0.8261
mod-mismatch,125.7682,0.5217
mod-mismatch,225.9607,0.9565
mod-mismatch,180.7744,0.8261
mod-mismatch,211.9279,1.0000
mod-mismatch,186.5634,0.8182
mod-mismatch,223.9182,0.9545
mod-mismatch,243.4235,1.0000
mod-mismatch,227.7384,0.9565
mod-mismatch,235.7714,0.9565
mod-mismatch,221.0172,0.8750
mod-mismatch,242.2406,0.9583
mod-mismatch,200.1441,0.9091
mod-mismatch,203.4306,0.9545
mod-mismatch,188.9659,0.8182
mod-mismatch,223.5010,0.9545
mod-mismatch,185.4762,0.8182
mod-mismatch,241.1480,1.0000
mod-mismatch,208.9720,0.8000
mod-mismatch,255.7527,0.9600
mod-mismatch,246.4887,1.0000
mod-mismatch,210.8934,0.9130
mod-mismatch,242.5565,1.0000
mod-mismatch,109.1930,0.3913
mod-mismatch,232.3080,1.0000
mod-mismatch,221.3206,0.9130
mod-mismatch,232.5264,1.0000
mod-mismatch,236.1636,0.9565
mod-mismatch,254.2385,0.9600
mod-mismatch,199.8848,0.9091
mod-mismatch,236.5276,1.0000
mod-mismatch,204.3120,0.9545
mod-mismatch,214.6093,0.9545
mod-mismatch,193.9653,0.9091
mod-mismatch,207.4029,0.9545
mod-mismatch,202.5429,0.8636
mod-mismatch,206.1694,0.9091
mod-mismatch,200.5786,0.9545
mod-mismatch,224.5954,0.9130
mod-mismatch,235.5858,1.0000
mod-mismatch,195.5761,0.9091
mod-mismatch,186.7600,0.8182
mod-mismatch,201.4516,0.9545
mod-mismatch,165.4425,0.7727
mod-mismatch,180.3151,0.8636
mod-mismatch,167.1872,0.7727
mod-mismatch,184.5962,0.9091
mod-mismatch,182.8904,0.8182
mod-mismatch,193.7505,0.9091
mod-mismatch,215.5916,1.0000
mod-mismatch,246.2903,1.0000
mod-mismatch,125.6690,0.5217
mod-mismatch,234.3629,0.9565
mod-mismatch,161.7887,0.6957
mod-mismatch,66.3638,0.2609
mod-mismatch,209.0503,0.8696
mod-mismatch,170.3857,0.7826
mod-mismatch,188.5724,0.8636
mod-mismatch,168.1916,0.7273
mod-mismatch,218.1835,1.0000
mod-mismatch,163.2280,0.7273
mod-mismatch,217.8764,1.0000
mod-mismatch,253.1910,0.9600
mod-mismatch,239.9842,0.9200
mod-mismatch,265.7866,1.0000
mod-mismatch,203.7585,0.9545
mod-mismatch,177.8345,0.8182
mod-mismatch,203.5419,0.7917
mod-mismatch,236.0900,0.9167
mod-mismatch,252.6473,1.0000
mod-mismatch,213.5029,0.8750
mod-mismatch,168.1279,0.7826
mod-mismatch,162.6063,0.6957
mod-mismatch,225.2132,1.0000
mod-mismatch,89.7146,0.3913
mod-mismatch,199.8921,0.9130
mod-mismatch,182.0085,0.7826
mod-mismatch,140.0108,0.6522
mod-mismatch,206.3409,0.9130
mod-mismatch,190.0747,0.9091
mod-mismatch,147.5524,0.6818
mod-mismatch,183.7798,0.8182
mod-mismatch,148.6073,0.7273
mod-mismatch,189.8212,0.9091
mod-mismatch,148.0590,0.6818
mod-mismatch,217.3361,1.0000
mod-mismatch,229.4528,0.9130
mod-mismatch,180.6829,0.8636
mod-mismatch,207.4602,1.0000
mod-mismatch,225.8089,1.0000
mod-mismatch,208.5542,0.9545
mod-mismatch,218.4070,0.9545
mod-mismatch,187.6775,0.9091
mod-mismatch,218.6085,0.8750
mod-mismatch,234.3020,0.9167
mod-mismatch,224.7486,0.9130
mod-mismatch,202.4411,0.8261
mod-mismatch,226.4406,0.9565
mod-mismatch,91.7104,0.3913
mod-mismatch,217.5884,0.9565
mod-mismatch,195.1542,0.8261
mod-mismatch,219.4181,0.9130
mod-mismatch,236.2410,0.9565
mod-mismatch,228.4688,1.0000
mod-mismatch,233.5496,0.9545
mod-mismatch,210.3221,0.9545
mod-mismatch,216.4543,0.9091
mod-mismatch,182.4919,0.9048
mod-mismatch,203.6939,0.9524
mod-mismatch,190.0539,0.9048
mod-mismatch,195.1602,0.9048
mod-mismatch,186.4801,0.8571
mod-mismatch,185.6427,0.9524
mod-mismatch,193.2973,0.9524
mod-mismatch,211.0506,0.9130
mod-mismatch,203.8845,0.8696
mod-mismatch,225.6313,0.9565
mod-mismatch,178.2833,0.7391
mod-mismatch,233.3188,0.9565
mod-mismatch,202.0614,0.8261
mod-mismatch,229.2455,0.9130
mod-mismatch,193.1088,0.9091
mod-mismatch,222.5499,1.0000
mod-mismatch,223.8910,0.9583
mod-mismatch,212.0891,0.8750
mod-mismatch,228.4598,0.8800
mod-mismatch,201.8135,0.9091
mod-mismatch,208.2598,0.9545
mod-mismatch,190.2468,0.9091
mod-mismatch,200.6339,0.9091
mod-mismatch,211.8441,0.9545
mod-mismatch,188.6606,0.7826
mod-mismatch,242.2638,1.0000
mod-mismatch,211.7359,0.9091
mod-mismatch,203.3750,0.8636
mod-mismatch,223.6961,1.0000
mod-mismatch,216.6273,0.9091
mod-mismatch,219.1220,0.9545
mod-mismatch,202.8658,0.9091
mod-mismatch,221.5186,0.9167
mod-mismatch,200.1536,0.8261
mod-mismatch,185.3470,0.7826
mod-mismatch,186.0076,0.7826
mod-mismatch,239.0307,1.0000
mod-mismatch,251.0593,1.0000
mod-mismatch,248.0217,1.0000
mod-mismatch,215.5362,0.9091
mod-mismatch,233.5615,1.0000
mod-mismatch,220.8338,0.9565
mod-mismatch,220.4023,0.9565
mod-mismatch,190.1648,0.8261
mod-mismatch,237.4211,0.9565
mod-mismatch,162.6449,0.7727
mod-mismatch,189.4607,0.9091
mod-mismatch,166.3824,0.7727
mod-mismatch,175.8561,0.8182
mod-mismatch,161.3537,0.7727
mod-mismatch,182.0913,0.8636
mod-mismatch,164.5555,0.7727
mod-mismatch,177.3891,0.8182
mod-mismatch,225.7580,1.0000
mod-mismatch,237.1723,0.9167
mod-mismatch,223.1860,0.9545
mod-mismatch,233.2410,1.0000
mod-mismatch,209.0278,0.8696
mod-mismatch,192.4650,0.8261
mod-mismatch,239.6876,0.9565
mod-mismatch,213.1846,0.9130
mod-mismatch,229.3807,1.0000
mod-mismatch,105.6194,0.4348
mod-mismatch,236.1788,1.0000
mod-mismatch,211.0533,0.9130
mod-mismatch,203.3271,0.8696
mod-mismatch,219.3412,1.0000
mod-mismatch,117.4643,0.5000
mod-mismatch,228.5655,1.0000
mod-mismatch,209.5607,0.9545
mod-mismatch,226.9849,0.9545
mod-mismatch,168.5474,0.7273
mod-mismatch,220.5805,1.0000
mod-mismatch,196.3822,0.9091
mod-mismatch,167.8622,0.7273
mod-mismatch,210.9973,0.9545
mod-mismatch,227.0385,0.9545
mod-mismatch,215.9743,0.9545
mod-mismatch,216.9572,0.9091
mod-mismatch,223.6112,0.9130
mod-mismatch,229.0231,0.9130
mod-mismatch,217.5802,0.9545
mod-mismatch,205.3262,0.9545
mod-mismatch,213.1838,0.9091
mod-mismatch,187.6715,0.8182
mod-mismatch,183.4303,0.8636
mod-mismatch,218.9966,0.9130
mod-mismatch,189.8732,0.8696
mod-mismatch,214.6830,0.9130
mod-mismatch,200.4659,0.8696
mod-mismatch,227.7934,0.9565
mod-mismatch,218.6731,0.9565
mod-mismatch,231.2317,0.9565
mod-mismatch,222.3156,0.9545
mod-mismatch,186.0515,0.8636
mod-mismatch,198.2139,0.8333
mod-mismatch,198.1214,0.7600
mod-mismatch,210.0316,0.8000
mod-mismatch,243.7973,0.9200
mod-mismatch,189.0110,0.8636
mod-mismatch,173.3117,0.8182
mod-mismatch,193.1130,0.9091
mod-mismatch,152.1078,0.6818
mod-mismatch,185.8462,0.8636
mod-mismatch,178.9494,0.8182
mod-mismatch,180.1124,0.8182
mod-mismatch,196.5175,0.9091
mod-mismatch,229.6656,1.0000
mod-mismatch,201.7733,0.8636
mod-mismatch,228.1424,1.0000
mod-mismatch,222.6250,0.9091
mod-mismatch,228.0469,0.9545
mod-mismatch,236.5089,1.0000
mod-mismatch,240.9472,1.0000
mod-mismatch,198.9672,0.9130
mod-mismatch,153.6513,0.6522
mod-mismatch,189.9077,0.7826
mod-mismatch,181.6004,0.8571
mod-mismatch,193.2806,0.9048
mod-mismatch,186.3666,0.9048
mod-mismatch,204.6354,0.9524
mod-mismatch,168.2318,0.8571
mod-mismatch,175.2524,0.8571
mod-mismatch,190.1403,0.9524
mod-mismatch,130.8238,0.5217
mod-mismatch,240.5780,0.9565
mod-mismatch,188.7710,0.7917
mod-mismatch,202.0440,0.8750
mod-mismatch,222.3507,0.9545
mod-mismatch,232.7511,1.0000
mod-mismatch,218.2817,1.0000
mod-mismatch,214.5071,0.9545
mod-mismatch,201.3732,0.8261
mod-mismatch,185.9469,0.7391
mod-mismatch,233.5935,0.9565
mod-mismatch,182.9933,0.8636
mod-mismatch,207.5003,0.9545
mod-mismatch,221.8324,1.0000
mod-mismatch,202.2294,0.8636
mod-mismatch,223.5780,0.9545
mod-mismatch,228.0537,1.0000
mod-mismatch,220.5509,1.0000
mod-mismatch,119.8005,0.5000
mod-mismatch,216.2282,0.9091
mod-mismatch,224.9069,0.9545
mod-mismatch,193.8529,0.9091
mod-mismatch,211.1717,0.9545
mod-mismatch,225.2895,0.9545
mod-mismatch,183.5298,0.8182
mod-mismatch,221.2871,1.0000
mod-mismatch,245.7307,0.9583
mod-mismatch,172.4257,0.8182
mod-mismatch,100.1214,0.4545
mod-mismatch,127.0339,0.5455
mod-mismatch,198.9402,0.9545
mod-mismatch,206.2542,0.9545
mod-mismatch,190.7738,0.9091
mod-mismatch,190.2610,0.8636
mod-mismatch,210.6817,1.0000
mod-mismatch,212.2190,0.9545
mod-mismatch,189.8528,0.8636
mod-mismatch,200.2589,0.9545
mod-mismatch,180.7917,0.8182
mod-mismatch,152.7893,0.7273
mod-mismatch,202.3672,0.9545
mod-mismatch,205.1912,0.8636
mod-mismatch,199.4012,0.9091
mod-mismatch,204.8704,0.9091
mod-mismatch,222.0603,0.9545
mod-mismatch,190.5513,0.8636
mod-mismatch,202.7136,0.9545
mod-mismatch,235.6494,0.9167
mod-mismatch,216.0775,0.8750
mod-mismatch,242.0417,0.9583
mod-mismatch,213.5978,0.8333
mod-mismatch,253.0008,1.0000
mod-mismatch,221.3498,0.9130
mod-mismatch,194.5850,0.8261
mod-mismatch,233.3173,0.9565
mod-mismatch,222.2110,0.9565
mod-mismatch,192.1728,0.8636
mod-mismatch,201.9210,0.9091
mod-mismatch,175.0730,0.7727
mod-mismatch,192.3161,0.8636
mod-mismatch,202.6739,0.9091
mod-mismatch,209.2745,0.9091
mod-mismatch,233.5941,0.9167
mod-mismatch,212.8864,0.9167
mod-mismatch,182.2487,0.7826
mod-mismatch,157.8269,0.6957
mod-mismatch,114.6329,0.5217
mod-mismatch,187.0375,0.8261
mod-mismatch,180.1092,0.7826
mod-mismatch,184.6364,0.8261
mod-mismatch,230.3844,1.0000
mod-mismatch,225.9838,1.0000
mod-mismatch,179.0125,0.9048
mod-mismatch,204.0183,0.9048
mod-mismatch,175.8928,0.8095
mod-mismatch,197.7941,0.8571
mod-mismatch,210.7943,0.9524
mod-mismatch,143.1470,0.7143
mod-mismatch,107.8872,0.4783
mod-mismatch,158.4997,0.6957
mod-mismatch,238.7266,1.0000
mod-mismatch,198.3416,0.8636
mod-mismatch,220.9670,0.9091
mod-mismatch,223.7619,1.0000
mod-mismatch,205.2982,0.9091
mod-mismatch,175.1476,0.7727
mod-mismatch,223.7403,0.9545
mod-mismatch,107.3646,0.4545
mod-mismatch,222.0841,0.9545
mod-mismatch,219.3182,0.9545
mod-mismatch,217.5328,0.9545
mod-mismatch,205.1737,0.9091
mod-mismatch,204.8431,0.8636
mod-mismatch,231.9806,1.0000
mod-mismatch,233.3656,0.9565
mod-mismatch,205.0778,0.8696
mod-mismatch,216.5157,0.8696
mod-mismatch,207.4321,0.8696
mod-mismatch,205.1866,0.9545
mod-mismatch,217.8935,1.0000
mod-mismatch,193.0836,0.9091
mod-mismatch,212.4385,0.9545
mod-mismatch,198.0472,0.9545
mod-mismatch,190.3738,0.8182
mod-mismatch,176.1752,0.8182
mod-mismatch,242.4514,0.9583
mod-mismatch,221.0706,0.8400
mod-mismatch,257.6423,0.9600
mod-mismatch,195.6598,0.8182
mod-mismatch,206.3240,0.8636
mod-mismatch,201.0915,0.9545
mod-mismatch,122.8459,0.5455
mod-mismatch,209.8080,0.9091
mod-mismatch,240.9635,1.0000
mod-mismatch,204.3625,0.8636
mod-mismatch,227.6372,0.9545
mod-mismatch,206.1674,0.8636
mod-mismatch,175.2209,0.7727
mod-mismatch,203.4995,0.9091
mod-mismatch,213.9173,1.0000
mod-mismatch,207.1080,0.9091
mod-mismatch,224.6807,0.9545
mod-mismatch,232.4431,0.9545
mod-mismatch,203.6704,0.9545
mod-mismatch,201.1949,0.8182
mod-mismatch,224.3685,0.9545
mod-mismatch,226.5201,0.9583
mod-mismatch,251.7490,0.9600
mod-mismatch,209.1238,0.9091
mod-mismatch,210.8989,0.9545
mod-mismatch,247.1213,0.9583
mod-mismatch,251.0611,1.0000
mod-mismatch,232.9063,0.9167
mod-mismatch,134.5980,0.5652
mod-mismatch,225.6071,0.9130
mod-mismatch,225.4349,0.9130
mod-mismatch,197.5668,0.9048
mod-mismatch,180.3957,0.8571
mod-mismatch,194.3990,0.9048
mod-mismatch,178.6017,0.9048
mod-mismatch,194.5801,0.9524
mod-mismatch,179.6722,0.9048
mod-mismatch,189.4779,0.9524
mod-mismatch,173.2536,0.8095
mod-mismatch,183.7419,0.9048
mod-mismatch,136.4748,0.6190
mod-mismatch,167.7190,0.8095
mod-mismatch,177.7071,0.8571
mod-mismatch,174.7318,0.8571
mod-mismatch,240.5471,0.9200
mod-mismatch,216.4575,0.8000
mod-mismatch,213.5612,0.9545
mod-mismatch,265.0883,1.0000
mod-mismatch,202.5874,0.8333
mod-mismatch,262.5601,1.0000
mod-mismatch,220.7447,1.0000
mod-mismatch,214.2190,0.8636
mod-mismatch,222.6855,1.0000
mod-mismatch,165.3443,0.7727
mod-mismatch,219.3355,1.0000
mod-mismatch,221.9335,0.9091
mod-mismatch,207.6228,0.8636
mod-mismatch,214.3783,0.8636
mod-mismatch,223.3844,0.9545
mod-mismatch,221.9870,1.0000
mod-mismatch,216.3362,0.8696
mod-mismatch,231.2928,0.9130
mod-mismatch,116.4407,0.4783
mod-mismatch,220.4255,0.9130
mod-mismatch,242.0036,0.9565
mod-mismatch,210.7878,0.9130
mod-mismatch,178.6834,0.8261
mod-mismatch,186.2977,0.8261
mod-mismatch,206.9374,0.9565
mod-mismatch,60.9622,0.2609
mod-mismatch,192.8661,0.8696
mod-mismatch,105.6390,0.4783
mod-mismatch,202.0473,0.9130
mod-mismatch,185.4853,0.7826
mod-mismatch,160.7265,0.7391
mod-mismatch,215.4002,0.9167
mod-mismatch,252.5355,0.9583
mod-mismatch,199.6712,0.9091
mod-mismatch,179.3688,0.8182
mod-mismatch,174.0913,0.8182
mod-mismatch,192.6551,0.9091
mod-mismatch,180.1228,0.8182
mod-mismatch,203.4184,0.9545
mod-mismatch,225.5652,0.9130
mod-mismatch,219.0366,0.9130
mod-mismatch,253.1837,1.0000
mod-mismatch,230.8527,0.9545
mod-mismatch,218.3226,0.9091
mod-mismatch,218.4501,0.9091
mod-mismatch,207.8147,0.9545
mod-mismatch,105.1497,0.4545
mod-mismatch,210.9048,0.9091
mod-mismatch,164.3008,0.7727
mod-mismatch,161.2087,0.7273
mod-mismatch,197.6550,0.9091
mod-mismatch,243.1148,0.9583
mod-mismatch,220.5615,0.8750
mod-mismatch,231.5841,0.9167
mod-mismatch,188.3602,0.7727
mod-mismatch,210.0652,0.9545
mod-mismatch,165.3475,0.7727
mod-mismatch,198.6876,0.9091
mod-mismatch,170.9309,0.7727
mod-mismatch,236.7266,1.0000
mod-mismatch,209.9815,0.9545
mod-mismatch,221.0023,0.9091
mod-mismatch,196.8193,0.9545
mod-mismatch,219.1905,0.9545
mod-mismatch,212.7174,0.8333
mod-mismatch,201.0010,0.8696
mod-mismatch,230.1088,0.9565
mod-mismatch,211.7125,0.8696
mod-mismatch,220.6756,0.9130
mod-mismatch,242.9146,1.0000
mod-mismatch,224.3685,0.9200
mod-mismatch,242.6094,0.9600
mod-mismatch,227.1451,1.0000
mod-mismatch,207.6411,0.8636
mod-mismatch,207.2946,0.8636
mod-mismatch,122.0840,0.5000
mod-mismatch,242.7818,1.0000
mod-mismatch,208.1035,0.8636
mod-mismatch,241.9146,1.0000
mod-mismatch,218.1086,0.9545
mod-mismatch,204.9437,0.8636
mod-mismatch,205.4895,0.8636
mod-mismatch,224.1799,0.9545
mod-mismatch,176.5857,0.7273
mod-mismatch,208.3346,0.9545
mod-mismatch,175.0207,0.7273
mod-mismatch,207.0299,0.9091
mod-mismatch,211.9976,1.0000
mod-mismatch,206.0955,0.8636
mod-mismatch,199.7328,0.9545
mod-mismatch,198.5419,0.9091
mod-mismatch,133.5772,0.5455
mod-mismatch,219.9965,0.9091
mod-mismatch,180.5291,0.8182
mod-mismatch,196.8811,0.9545
mod-mismatch,225.8494,0.9545
mod-mismatch,223.5996,0.9545
mod-mismatch,194.1929,0.8636
mod-mismatch,208.7288,0.9091
mod-mismatch,211.7990,0.8696
mod-mismatch,217.5961,0.9565
mod-mismatch,247.5693,1.0000
mod-mismatch,178.3040,0.7826
mod-mismatch,234.6031,0.9565
mod-mismatch,221.8288,0.9130
mod-mismatch,216.8913,0.8696
mod-mismatch,213.5025,0.9565
mod-mismatch,225.7933,0.9130
mod-mismatch,227.5988,0.9130
mod-mismatch,220.0542,1.0000
mod-mismatch,206.2245,0.8696
mod-mismatch,233.2208,0.9565
mod-mismatch,239.3379,0.9565
mod-mismatch,234.5576,0.9565
mod-mismatch,242.1959,1.0000
mod-mismatch,107.4051,0.4348
mod-mismatch,171.0457,0.6957
mod-mismatch,101.8043,0.3913
mod-mismatch,229.2994,0.9565
mod-mismatch,212.1868,0.8696
mod-mismatch,192.0541,0.9091
mod-mismatch,220.5957,1.0000
mod-mismatch,198.1295,0.8182
mod-mismatch,180.4773,0.8636
mod-mismatch,202.3975,0.9091
mod-mismatch,227.2699,0.9130
mod-mismatch,218.4264,1.0000
mod-mismatch,218.7974,0.9545
mod-mismatch,222.4328,0.9545
mod-mismatch,199.6805,0.9091
mod-mismatch,221.0834,0.9167
mod-mismatch,225.8565,0.9167
mod-mismatch,200.7552,0.9091
mod-mismatch,210.4919,0.9091
mod-mismatch,209.5773,0.9545
mod-mismatch,215.6776,0.9091
mod-mismatch,162.4010,0.7727
mod-mismatch,214.9992,1.0000
mod-mismatch,210.1877,0.9545
mod-mismatch,221.1155,0.8696
mod-mismatch,223.2748,0.9130
mod-mismatch,204.6489,0.8696
mod-mismatch,238.6532,1.0000
mod-mismatch,197.4376,0.8261
mod-mismatch,210.9566,0.8696
mod-mismatch,232.6064,0.9565
mod-mismatch,209.2593,0.8636
mod-mismatch,213.6331,1.0000
mod-mismatch,214.6496,0.9545
mod-mismatch,118.2655,0.4783
mod-mismatch,227.2835,0.9130
mod-mismatch,247.4649,0.9583
mod-mismatch,201.7598,0.8261
mod-mismatch,176.3374,0.7727
mod-mismatch,190.6309,0.9091
mod-mismatch,190.6000,0.8636
mod-mismatch,174.7261,0.8182
mod-mismatch,204.1501,0.9091
mod-mismatch,190.5580,0.9091
mod-mismatch,198.3806,0.9091
mod-mismatch,139.5271,0.6364
mod-mismatch,199.7229,0.9545
mod-mismatch,210.7375,0.9545
mod-mismatch,222.2935,0.9583
mod-mismatch,232.5895,0.9167
mod-mismatch,174.1441,0.7727
mod-mismatch,204.0122,0.8636
mod-mismatch,236.7590,0.9583
mod-mismatch,242.5810,1.0000
mod-mismatch,243.7593,1.0000
mod-mismatch,232.0471,0.9565
mod-mismatch,239.2347,1.0000
mod-mismatch,174.8968,0.8571
mod-mismatch,201.9073,1.0000
mod-mismatch,172.9263,0.8571
mod-mismatch,157.6821,0.7619
mod-mismatch,199.5738,0.9048
mod-mismatch,169.1734,0.8571
mod-mismatch,189.7126,0.8571
mod-mismatch,184.8371,0.9524
mod-mismatch,205.4621,1.0000
mod-mismatch,190.1493,0.9524
mod-mismatch,217.3773,0.9130
