type,delta_bits,delta_frac
tw-wrong-char,106.7974,0.4348
bc-wrong-field,123.6149,0.5217
tw-wrong-char,106.7974,0.4348
bc-wrong-field,96.8255,0.4762
tw-wrong-char,63.0661,0.2857
bc-wrong-field,113.8802,0.5455
tw-wrong-char,79.1733,0.3636
bc-wrong-field,113.8802,0.5455
tw-wrong-char,79.1733,0.3636
bc-wrong-field,118.9567,0.5217
tw-wrong-char,118.9567,0.5217
bc-wrong-field,118.9567,0.5217
tw-wrong-char,118.9567,0.5217
bc-wrong-field,131.0623,0.5217
tw-wrong-char,131.0623,0.5217
bc-wrong-field,127.0719,0.5217
tw-wrong-char,110.2545,0.4348
bc-wrong-field,136.3487,0.5455
tw-wrong-char,78.2522,0.2727
bc-wrong-field,99.5525,0.4762
tw-wrong-char,82.6106,0.3810
bc-wrong-field,99.5525,0.4762
tw-wrong-char,82.6106,0.3810
bc-wrong-field,101.7031,0.4762
tw-wrong-char,101.7031,0.4762
bc-wrong-field,101.7031,0.4762
tw-wrong-char,101.7031,0.4762
bc-wrong-field,98.4548,0.4762
tw-wrong-char,81.5129,0.3810
bc-wrong-field,98.4548,0.4762
tw-wrong-char,81.5129,0.3810
bc-wrong-field,117.0255,0.5217
tw-wrong-char,117.0255,0.5217
bc-wrong-field,117.0255,0.5217
tw-wrong-char,117.0255,0.5217
bc-wrong-field,116.1337,0.5217
tw-wrong-char,116.1337,0.5217
bc-wrong-field,116.1337,0.5217
tw-wrong-char,116.1337,0.5217
bc-wrong-field,97.9380,0.5000
tw-wrong-char,81.1205,0.4000
mod-mismatch,238.8933,0.9583
mod-mismatch,195.6662,0.9130
mod-mismatch,180.4356,0.8261
mod-mismatch,208.0960,0.9167
mod-mismatch,180.1267,0.7500
mod-mismatch,195.2896,0.9130
mod-mismatch,162.2563,0.7391
mod-mismatch,197.5802,0.9130
mod-mismatch,207.1162,0.9130
mod-mismatch,218.1889,0.9130
mod-mismatch,197.3422,0.7917
mod-mismatch,148.4964,0.7273
mod-mismatch,193.6945,0.8333
mod-mismatch,190.9451,0.8696
mod-mismatch,179.2480,0.8261
mod-mismatch,193.7819,0.8261
mod-mismatch,200.9435,0.9130
mod-mismatch,222.3662,0.8750
mod-mismatch,170.9730,0.7083
mod-mismatch,201.2712,0.8696
mod-mismatch,220.9130,0.9130
mod-mismatch,163.7998,0.7391
mod-mismatch,153.9822,0.6957
mod-mismatch,208.7856,1.0000
mod-mismatch,253.5603,1.0000
mod-mismatch,236.1585,1.0000
mod-mismatch,181.3851,0.8261
mod-mismatch,200.6565,0.8696
mod-mismatch,168.7354,0.7826
mod-mismatch,217.3881,0.9167
mod-mismatch,127.3988,0.5652
mod-mismatch,170.2766,0.7391
mod-mismatch,191.4708,0.8261
mod-mismatch,215.5136,0.9565
mod-mismatch,246.9721,0.9583
mod-mismatch,100.9404,0.4348
mod-mismatch,221.3889,0.9565
mod-mismatch,176.0659,0.7826
mod-mismatch,219.7679,1.0000
mod-mismatch,224.8990,1.0000
mod-mismatch,194.8467,0.8261
mod-mismatch,204.1547,0.8696
mod-mismatch,201.8157,0.9130
mod-mismatch,235.8272,0.9565
mod-mismatch,222.8235,0.9130
mod-mismatch,248.1177,1.0000
mod-mismatch,172.8948,0.7826
mod-mismatch,153.3961,0.6957
mod-mismatch,212.7633,0.9167
mod-mismatch,198.9789,0.8696
mod-mismatch,200.7472,0.9545
mod-mismatch,173.5432,0.8182
mod-mismatch,197.9578,0.9091
mod-mismatch,240.8280,0.9583
mod-mismatch,189.4407,0.8261
mod-mismatch,167.7006,0.7727
mod-mismatch,196.8723,0.9130
mod-mismatch,235.3917,1.0000
mod-mismatch,212.9612,0.8696
mod-mismatch,198.3279,0.9130
