cond,class,euler_factors,sealed
1721,1721.a,null,0
1728,1728.a,null,0
1728,1728.b,null,0
1734,1734.a,null,0
1734,1734.b,null,0
1738,1738.a,null,0
1740,1740.a,null,0
1743,1743.a,null,0
1744,1744.a,null,0
1746,1746.a,null,0
1753,1753.a,null,0
1757,1757.a,null,0
1770,1770.a,null,0
1776,1776.a,null,0
1776,1776.b,null,0
1777,1777.a,null,0
1780,1780.a,null,0
1788,1788.a,null,0
1791,1791.a,null,0
1792,1792.a,null,0
1795,1795.a,null,0
1797,1797.a,null,0
1798,1798.a,null,0
1800,1800.a,null,0
1811,1811.a,null,0
1811,1811.b,null,0
1813,1813.a,null,0
1832,1832.a,null,0
1832,1832.b,null,0
1835,1835.a,null,0
1835,1835.b,null,0
1844,1844.a,null,0
1844,1844.b,null,0
1844,1844.c,null,0
1848,1848.a,null,0
1854,1854.a,null,0
1861,1861.a,null,0
1863,1863.a,null,0
1863,1863.b,null,0
1870,1870.a,null,0
1872,1872.a,null,0
1872,1872.b,null,0
1876,1876.a,null,0
1888,1888.a,null,0
1896,1896.a,null,0
1899,1899.a,null,0
1900,1900.a,null,0
1904,1904.a,null,0
1908,1908.a,null,0
1911,1911.a,null,0
1915,1915.a,null,0
1919,1919.a,null,0
1920,1920.a,null,0
1922,1922.a,null,0
1923,1923.a,null,0
1923,1923.b,null,0
1929,1929.a,null,0
1935,1935.a,null,0
1936,1936.a,null,0
1936,1936.b,null,0
1944,1944.a,null,0
1947,1947.a,null,0
1950,1950.a,null,0
1952,1952.a,null,0
1952,1952.b,null,0
1961,1961.a,null,0
1973,1973.a,null,0
1981,1981.a,null,0
1982,1982.a,null,0
1985,1985.a,null,0
1987,1987.a,null,0
1988,1988.a,null,0
1989,1989.a,null,0
1991,1991.a,null,0
1995,1995.a,null,0
1996,1996.a,null,0
1996,1996.b,null,0
2001,2001.a,null,0
2001,2001.b,null,0
2007,2007.a,null,0
2012,2012.a,null,0
2016,2016.a,null,0
2016,2016.b,null,0
2016,2016.c,null,0
2020,2020.a,null,0
2027,2027.a,null,0
2028,2028.a,null,0
2031,2031.a,null,0
2036,2036.a,null,0
2043,2043.a,null,0
2054,2054.a,null,0
2056,2056.a,null,0
2056,2056.b,null,0
2056,2056.c,null,0
2058,2058.a,null,0
2059,2059.a,null,0
2060,2060.a,null,0
2061,2061.a,null,0
2063,2063.a,null,0
2069,2069.a,null,0
2075,2075.a,null,0
2080,2080.a,null,0
2085,2085.a,null,0
2094,2094.a,null,0
2094,2094.b,null,0
2101,2101.a,null,0
2102,2102.a,null,0
2102,2102.b,null,0
2106,2106.a,null,0
2112,2112.a,null,0
2117,2117.a,null,0
2121,2121.a,null,0
2123,2123.a,null,0
2127,2127.a,null,0
2139,2139.a,null,0
2145,2145.a,null,0
2148,2148.a,null,0
2154,2154.a,null,0
2156,2156.a,null,0
2156,2156.b,null,0
2156,2156.c,null,0
2165,2165.a,null,0
2166,2166.a,null,0
2166,2166.b,null,0
2169,2169.a,null,0
2172,2172.a,null,0
2173,2173.a,null,0
2176,2176.a,null,0
2176,2176.b,null,0
2178,2178.a,null,0
2178,2178.b,null,0
2187,2187.a,null,0
2188,2188.a,null,0
2190,2190.a,null,0
2192,2192.a,null,0
2207,2207.a,null,0
2208,2208.a,null,0
2208,2208.b,null,0
2214,2214.a,null,0
2218,2218.a,null,0
2223,2223.a,null,0
2225,2225.a,null,0
2230,2230.a,null,0
2234,2234.a,null,0
2238,2238.a,null,0
2243,2243.a,null,0
2250,2250.a,null,0
2251,2251.a,null,0
2261,2261.a,null,0
2272,2272.a,null,0
2280,2280.a,null,0
2288,2288.a,null,0
2290,2290.a,null,0
2295,2295.a,null,0
2298,2298.a,null,0
