label,class,cond,abs_disc,eqn,bad_lfactors,is_gl2_type,end_alg,geom_end_alg,st_group,Lhash,sealed
1568.b.12544.1,1568.b,1568,12544,"""[[1,0,0,0,-1],[0,1,0,1]]""","""[[2,[1,1]],[7,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1044800108561332130,0
1573.a.1573.1,1573.a,1573,1573,"""[[-1,-3,-4,-3,-1],[0,0,0,1]]""","""[[11,[1,0,-1]],[13,[1,-3,9,13]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2105008693391621704,0
1573.a.190333.1,1573.a,1573,190333,"""[[-83,21,38,-7,-7],[0,0,0,1]]""","""[[11,[1,0,-1]],[13,[1,-3,9,13]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2105008693391621704,0
1573.b.224939.1,1573.b,1573,224939,"""[[-1,0,3,-5,1,1],[1,1]]""","""[[11,[1,-4,11]],[13,[1,3,15,13]]]""",False,Q,Q,USp(4),1215887368065871575,0
1575.a.165375.1,1575.a,1575,165375,"""[[0,-2,1,0,2,-1],[1,1,1]]""","""[[3,[1,2,3]],[5,[1,2,5]],[7,[1,3,9,7]]]""",False,Q,Q,USp(4),2153655626995476519,0
1575.a.23625.1,1575.a,1575,23625,"""[[-4,7,2,-6,-1,1],[1,0,0,1]]""","""[[3,[1,2,3]],[5,[1,2,5]],[7,[1,3,9,7]]]""",False,Q,Q,USp(4),2153655626995476519,0
1584.a.684288.1,1584.a,1584,684288,"""[[11,0,-17,0,6,0,-1],[0,1,0,1]]""","""[[2,[1,-1]],[3,[1,2,1]],[11,[1,-3,7,11]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1992152227684837437,0
1589.a.1589.1,1589.a,1589,1589,"""[[0,-1,-1,4,4,1],[1]]""","""[[7,[1,3,9,7]],[227,[1,13,239,227]]]""",False,Q,Q,USp(4),1903635322180479317,0
1595.a.231275.1,1595.a,1595,231275,"""[[1,-4,2,-1,1],[0,1,0,1]]""","""[[5,[1,4,8,5]],[11,[1,3,13,11]],[29,[1,5,23,-29]]]""",False,Q,Q,USp(4),173762363552659964,0
1600.a.409600.1,1600.a,1600,409600,"""[[-1,0,-2,0,0,0,1],[]]""","""[[2,[1]],[5,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1829611100118794308,0
1600.b.409600.1,1600.b,1600,409600,"""[[-1,0,4,0,-4,0,1],[]]""","""[[2,[1]],[5,[1,2,1]]]""",True,Q x Q,M_2(Q),J(E_1),216822733902445805,0
1611.a.14499.1,1611.a,1611,14499,"""[[0,1,1,-6,-8,3],[1,1]]""","""[[3,[1,0,-1]],[179,[1,19,159,-179]]]""",False,Q,Q,USp(4),2051269647276424869,0
1612.a.3224.1,1612.a,1612,3224,"""[[0,1,2,1],[1,1,0,1]]""","""[[2,[1,1,1]],[13,[1,2,10,-13]],[31,[1,3,33,31]]]""",False,Q,Q,USp(4),2223538863602576855,0
1624.a.831488.1,1624.a,1624,831488,"""[[1,1,2,2,0,1],[0,1,0,1]]""","""[[2,[1,-1]],[7,[1,1,7,7]],[29,[1,3,31,29]]]""",False,Q,Q,USp(4),1626099242564292047,0
1632.a.52224.1,1632.a,1632,52224,"""[[17,0,-27,0,11,0,-1],[0,1,0,1]]""","""[[2,[1,-1]],[3,[1,1,1,-3]],[17,[1,-1,15,17]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1529888276931910761,0
1636.a.6544.1,1636.a,1636,6544,"""[[0,1,1,-1,-1],[0,1,0,1]]""","""[[2,[1,1,2]],[409,[1,2,410,409]]]""",False,Q,Q,USp(4),1260554078454461078,0
1637.a.1637.1,1637.a,1637,1637,"""[[0,0,-1,1,-1,1],[1]]""","""[[1637,[1,43,1593,-1637]]]""",False,Q,Q,USp(4),594678564614811203,0
1643.a.1643.1,1643.a,1643,1643,"""[[0,-2,5,-5,1,1],[1]]""","""[[31,[1,4,26,-31]],[53,[1,4,56,53]]]""",False,Q,Q,USp(4),1674921808958940328,0
1647.a.1647.1,1647.a,1647,1647,"""[[0,0,0,0,0,1],[1,1,0,1]]""","""[[3,[1,3,3]],[61,[1,5,55,-61]]]""",False,Q,Q,USp(4),438083503625387584,0
1649.a.159953.1,1649.a,1649,159953,"""[[5,6,4,3,1],[0,1,1,1]]""","""[[17,[1,-5,11,17]],[97,[1,11,107,97]]]""",False,Q,Q,USp(4),1594596365652333780,0
1650.a.371250.1,1650.a,1650,371250,"""[[0,1,-11,30,-11,1],[0,1,1]]""","""[[2,[1,0,1,2]],[3,[1,-1,3,-3]],[5,[1,0,-1]],[11,[1,1,11,11]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),615497630361922712,0
1655.a.1655.1,1655.a,1655,1655,"""[[0,-1,0,1],[0,1,1,1]]""","""[[5,[1,2,2,-5]],[331,[1,5,335,331]]]""",False,Q,Q,USp(4),2021723053253340880,0
1655.a.206875.1,1655.a,1655,206875,"""[[-10,14,2,-7,-1,1],[1,0,0,1]]""","""[[5,[1,2,2,-5]],[331,[1,5,335,331]]]""",False,Q,Q,USp(4),2021723053253340880,0
1656.a.804816.1,1656.a,1656,804816,"""[[0,9,-13,13,-6,2],[0,1]]""","""[[2,[1,-1,2]],[3,[1,0,3]],[23,[1,7,15,-23]]]""",False,Q,Q,USp(4),1624746546113309664,0
1660.a.6640.1,1660.a,1660,6640,"""[[1,2,-2,-4,0,1],[1,0,0,1]]""","""[[2,[1,0,1]],[5,[1,3,1,-5]],[83,[1,5,77,-83]]]""",False,Q,Q,USp(4),1631013283918540872,0
1664.a.3328.1,1664.a,1664,3328,"""[[0,-1,0,3,-1,-2,1],[0,1]]""","""[[2,[1,1,2]],[13,[1,-1,13,-13]]]""",False,Q,Q,USp(4),983890139372197233,0
1665.a.1665.1,1665.a,1665,1665,"""[[1,2,2,1,1],[1,0,1,1]]""","""[[3,[1,0,1]],[5,[1,0,4,5]],[37,[1,3,39,37]]]""",False,Q,Q,USp(4),2247870725286011915,0
1680.a.16800.1,1680.a,1680,16800,"""[[-350,0,-136,0,-18,0,-1],[0,1,0,1]]""","""[[2,[1,-1]],[3,[1,1,3,3]],[5,[1,3,7,5]],[7,[1,1,7,7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2245213958765115444,0
1680.b.215040.1,1680.b,1680,215040,"""[[0,1,15,44,25,4],[0,1]]""","""[[2,[1,-1,2]],[3,[1,1,3,3]],[5,[1,-1,3,5]],[7,[1,1,7,7]]]""",False,Q,Q,USp(4),2206626054010050679,0
1680.c.241920.1,1680.c,1680,241920,"""[[-2,0,22,0,-96,0,135],[1,0,1]]""","""[[2,[1,1]],[3,[1,-1,3,-3]],[5,[1,-1,3,5]],[7,[1,5,11,7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1306746437046955344,0
1684.a.215552.1,1684.a,1684,215552,"""[[0,2,-1,2,-1,1],[0,1,1]]""","""[[2,[1,0,-1]],[421,[1,-17,437,-421]]]""",False,Q,Q,USp(4),1843920880047557916,0
1689.a.1689.1,1689.a,1689,1689,"""[[0,0,1,2,2,1],[1,1,1]]""","""[[3,[1,2,4,3]],[563,[1,-29,591,-563]]]""",False,Q,Q,USp(4),744154359880015023,0
1689.a.45603.1,1689.a,1689,45603,"""[[0,3,15,21,-6,1],[1,1,1]]""","""[[3,[1,2,4,3]],[563,[1,-29,591,-563]]]""",False,Q,Q,USp(4),744154359880015023,0
1695.a.1695.1,1695.a,1695,1695,"""[[-1,0,1,0,1,1],[1,0,0,1]]""","""[[3,[1,1,1,-3]],[5,[1,-2,2,5]],[113,[1,-7,119,-113]]]""",False,Q,Q,USp(4),1376045349524286035,0
1696.a.217088.1,1696.a,1696,217088,"""[[-1,-7,-22,-28,-24,1],[1,0,1]]""","""[[2,[1,-1,2]],[53,[1,-5,47,53]]]""",False,Q,Q,USp(4),522668139301639298,0
1696.a.27136.1,1696.a,1696,27136,"""[[-1,0,3,8,7,4],[1,1]]""","""[[2,[1,-1,2]],[53,[1,-5,47,53]]]""",False,Q,Q,USp(4),522668139301639298,0
1696.b.434176.1,1696.b,1696,434176,"""[[26,3,-12,9,2,-2,1],[0,1]]""","""[[2,[1,-1]],[53,[1,1,53,53]]]""",False,Q,Q x Q,N(SU(2)xSU(2)),1869713483527861982,0
1701.a.1701.1,1701.a,1701,1701,"""[[-1,12,-60,86,19,1],[1]]""","""[[3,[1,2,3]],[7,[1,2,8,7]]]""",False,Q,Q,USp(4),576864679293783329,0
1702.a.39146.1,1702.a,1702,39146,"""[[-30,22,14,-13,0,1],[1,1]]""","""[[2,[1,1,2,2]],[23,[1,5,27,23]],[37,[1,3,33,-37]]]""",False,Q,Q,USp(4),1439986085988797656,0
1706.a.3412.1,1706.a,1706,3412,"""[[0,0,0,0,-1,-1,1],[1,1]]""","""[[2,[1,1,2,2]],[853,[1,7,845,-853]]]""",False,Q,Q,USp(4),2152667676536573834,0
1708.a.47824.1,1708.a,1708,47824,"""[[0,1,0,-3,8,-7],[1,1,1]]""","""[[2,[1,0,1]],[7,[1,-2,4,7]],[61,[1,-11,49,61]]]""",False,Q,Q,USp(4),2096997644263407466,0
1712.a.109568.1,1712.a,1712,109568,"""[[0,3,9,4,6,1],[1,0,1]]""","""[[2,[1,1]],[107,[1,1,107,107]]]""",False,Q,Q,USp(4),1103714432178505129,0
1717.a.1717.1,1717.a,1717,1717,"""[[0,1,2,3,2,1],[0,1]]""","""[[17,[1,-3,19,-17]],[101,[1,9,91,-101]]]""",False,Q,Q,USp(4),1939253866151895217,0
1717.a.1717.2,1717.a,1717,1717,"""[[0,1,16,24,9,1],[0,1]]""","""[[17,[1,-3,19,-17]],[101,[1,9,91,-101]]]""",False,Q,Q,USp(4),1939253866151895217,0
1717.b.1717.1,1717.b,1717,1717,"""[[0,-1,-2,-2,-1],[0,1,0,1]]""","""[[17,[1,0,16,-17]],[101,[1,-11,89,101]]]""",False,Q,Q,USp(4),2207499616476789947,0
1718.a.3436.1,1718.a,1718,3436,"""[[0,1,2,0,0,1],[1,1]]""","""[[2,[1,1,0,-2]],[859,[1,-41,899,-859]]]""",False,Q,Q,USp(4),177503545495566680,0
1721.a.1721.1,1721.a,1721,1721,"""[[0,-1,1],[1,0,0,1]]""","""[[1721,[1,38,1682,-1721]]]""",False,Q,Q,USp(4),935819103056385830,0
1728.a.27648.1,1728.a,1728,27648,"""[[0,0,0,-1,-3,0,3],[1,1]]""","""[[2,[1,-1]],[3,[1,2,3]]]""",False,Q,Q,USp(4),1443326436143850885,0
1728.b.442368.1,1728.b,1728,442368,"""[[3,0,6,0,4,0,1],[]]""","""[[2,[1]],[3,[1,-1]]]""",True,Q x Q,CM x Q,N(U(1)xSU(2)),426310936947637709,0
1734.a.1734.1,1734.a,1734,1734,"""[[0,1,1,1,1,1],[1,0,0,1]]""","""[[2,[1,2,3,2]],[3,[1,1,3,3]],[17,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),595905657863003987,0
1734.b.41616.1,1734.b,1734,41616,"""[[-1,-4,0,6,-1,-3,1],[0,1,1]]""","""[[2,[1,0,1,-2]],[3,[1,-1,3,-3]],[17,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),8184151652327973,0
1738.a.137302.1,1738.a,1738,137302,"""[[-41,-101,-66,-5,0,1],[0,1]]""","""[[2,[1,1,0,-2]],[11,[1,5,15,11]],[79,[1,-17,95,-79]]]""",False,Q,Q,USp(4),636615878585330514,0
1740.a.104400.1,1740.a,1740,104400,"""[[0,30,-5,-14,0,2],[0,1,1]]""","""[[2,[1,0,-1]],[3,[1,0,2,3]],[5,[1,2,2,-5]],[29,[1,-5,23,29]]]""",False,Q,Q,USp(4),1522724425743737300,0
1743.a.597849.1,1743.a,1743,597849,"""[[-1,1,-1,3,3,2,3],[1,1,1]]""","""[[3,[1,0,2,3]],[7,[1,0,6,-7]],[83,[1,11,71,-83]]]""",False,Q,Q,USp(4),757940694152828662,0
1744.a.1744.1,1744.a,1744,1744,"""[[0,1,0,1],[0,1,0,1]]""","""[[2,[1,1]],[109,[1,-1,107,109]]]""",False,Q,Q,USp(4),1444027856435056255,0
1746.a.10476.1,1746.a,1746,10476,"""[[0,-1,0,0,2,1,1],[1,1,1]]""","""[[2,[1,0,1,2]],[3,[1,0,-1]],[97,[1,-3,99,-97]]]""",False,Q,Q,USp(4),2021243407368597284,0
1753.a.1753.1,1753.a,1753,1753,"""[[0,0,1],[1,0,0,1]]""","""[[1753,[1,10,1742,-1753]]]""",False,Q,Q,USp(4),2194038118825262935,0
1757.a.1757.1,1757.a,1757,1757,"""[[0,0,1,1],[1,1,1,1]]""","""[[7,[1,2,4,-7]],[251,[1,-11,239,251]]]""",False,Q,Q,USp(4),1239796426506003382,0
1770.a.26550.1,1770.a,1770,26550,"""[[3,7,0,-7,0,3],[0,1,1]]""","""[[2,[1,0,1,2]],[3,[1,1,1,-3]],[5,[1,-1,5,-5]],[59,[1,13,71,59]]]""",False,Q,Q,USp(4),1348734739352373348,0
1776.a.7104.1,1776.a,1776,7104,"""[[12,14,15,8,4,1],[0,0,0,1]]""","""[[2,[1]],[3,[1,2,4,3]],[37,[1,1,35,-37]]]""",False,Q,Q,USp(4),1702760414319941354,0
1776.b.191808.1,1776.b,1776,191808,"""[[0,0,-1,0,1,2],[1]]""","""[[2,[1]],[3,[1,0,2,-3]],[37,[1,3,39,37]]]""",False,Q,Q,USp(4),952103407252005392,0
1777.a.1777.1,1777.a,1777,1777,"""[[-8,-1,7,0,-3],[1,1,0,1]]""","""[[1777,[1,-38,1814,-1777]]]""",False,Q,Q,USp(4),1411624195849460737,0
1780.a.7120.1,1780.a,1780,7120,"""[[-89,0,64,0,-16,0,1],[0,1,0,1]]""","""[[2,[1,-1,2]],[5,[1,3,7,5]],[89,[1,5,83,-89]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1086328846636011571,0
1788.a.14304.1,1788.a,1788,14304,"""[[0,-1,0,0,2,1],[1,0,0,1]]""","""[[2,[1,0,-1]],[3,[1,1,1,-3]],[149,[1,-5,143,149]]]""",False,Q,Q,USp(4),870767819125982102,0
1791.a.5373.1,1791.a,1791,5373,"""[[0,0,-1,2,6,3],[1]]""","""[[3,[1,1,3]],[199,[1,-1,199,-199]]]""",False,Q,Q,USp(4),1393751871654252107,0
1792.a.3584.1,1792.a,1792,3584,"""[[0,-2,1,0,-1],[1,1,1,1]]""","""[[2,[1]],[7,[1,3,3,-7]]]""",False,Q,Q x Q,N(SU(2)xSU(2)),361698798966946105,0
1795.a.224375.1,1795.a,1795,224375,"""[[-23,6,-23,3,-8,0,-1],[0,1,1,1]]""","""[[5,[1,-2,2,5]],[359,[1,13,371,359]]]""",False,Q,Q,USp(4),1458822888926745140,0
1797.a.5391.1,1797.a,1797,5391,"""[[0,0,1,2,-4,1],[1,1,1]]""","""[[3,[1,2,4,3]],[599,[1,23,575,-599]]]""",False,Q,Q,USp(4),2278743983916249834,0
1798.a.3596.1,1798.a,1798,3596,"""[[1,1,4,2,4,1],[0,1,1]]""","""[[2,[1,0,1,2]],[29,[1,1,29,29]],[31,[1,-4,26,31]]]""",False,Q,Q,USp(4),310635551149162688,0
1800.a.3600.1,1800.a,1800,3600,"""[[-1,0,1,0,-1],[0,1,0,1]]""","""[[2,[1,1,2]],[3,[1,0,-1]],[5,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),526436881799755279,0
1811.a.1811.1,1811.a,1811,1811,"""[[0,-1,0,1,-1],[1,0,0,1]]""","""[[1811,[1,-25,1835,-1811]]]""",False,Q,Q,USp(4),136736030713794555,0
1811.b.1811.1,1811.b,1811,1811,"""[[2,-1,-3,-1,1,1],[0,0,0,1]]""","""[[1811,[1,44,1854,1811]]]""",False,Q,Q,USp(4),917257800639543684,0
1813.a.1813.1,1813.a,1813,1813,"""[[0,1,1,2,1,1],[1]]""","""[[7,[1,4,7]],[37,[1,11,47,37]]]""",False,Q,Q,USp(4),175248704926379647,0
1832.a.3664.1,1832.a,1832,3664,"""[[0,1,-3,-1,4,2],[0,1]]""","""[[2,[1,-1,2]],[229,[1,9,219,-229]]]""",False,Q,Q,USp(4),1067409632915023641,0
1832.b.14656.1,1832.b,1832,14656,"""[[0,0,-2,-4,0,2],[1,1]]""","""[[2,[1,-1]],[229,[1,-5,223,229]]]""",False,Q,Q,USp(4),2104398621957133093,0
1832.b.3664.1,1832.b,1832,3664,"""[[-1,4,0,-15,11,1],[1,0,1]]""","""[[2,[1,-1]],[229,[1,-5,223,229]]]""",False,Q,Q,USp(4),2104398621957133093,0
1835.a.1835.1,1835.a,1835,1835,"""[[0,-2,5,-4,0,1],[1]]""","""[[5,[1,2,2,-5]],[367,[1,-16,350,367]]]""",False,Q,Q,USp(4),124125557311514971,0
1835.b.1835.1,1835.b,1835,1835,"""[[-2,-1,4,0,-2],[0,0,0,1]]""","""[[5,[1,0,4,5]],[367,[1,-12,354,367]]]""",False,Q,Q,USp(4),1291093049737494871,0
1844.a.3688.1,1844.a,1844,3688,"""[[0,-1,-1,1,1],[1,0,1,1]]""","""[[2,[1,1,1]],[461,[1,-10,470,-461]]]""",False,Q,Q,USp(4),1020014188760850588,0
1844.b.29504.1,1844.b,1844,29504,"""[[0,1,0,-5,2,-1],[1,1,1]]""","""[[2,[1,0,1]],[461,[1,-11,449,461]]]""",False,Q,Q,USp(4),1832826190186271076,0
1844.c.118016.1,1844.c,1844,118016,"""[[-8,27,-31,8,0,2],[1,1,1]]""","""[[2,[1,0,-1]],[461,[1,-1,461,-461]]]""",False,Q,Q,USp(4),1905431877247092206,0
1848.a.99792.1,1848.a,1848,99792,"""[[-1,0,-2,-1,0,-2],[1,1]]""","""[[2,[1,-1,2]],[3,[1,1,1,-3]],[7,[1,3,3,-7]],[11,[1,1,11,11]]]""",False,Q,Q,USp(4),208154587366281056,0
1854.a.11124.1,1854.a,1854,11124,"""[[1,1,-2,-2],[0,1,1,1]]""","""[[2,[1,2,3,2]],[3,[1,1,1]],[103,[1,3,99,-103]]]""",False,Q,Q,USp(4),997117709083028124,0
1861.a.1861.1,1861.a,1861,1861,"""[[0,0,-1,1,-1],[1,1,0,1]]""","""[[1861,[1,-2,1862,-1861]]]""",False,Q,Q,USp(4),198347953235203466,0
1863.a.1863.1,1863.a,1863,1863,"""[[0,1,-5,0,4,2],[1,1,0,1]]""","""[[3,[1,1,3]],[23,[1,2,20,-23]]]""",False,Q,Q,USp(4),1363761482063278417,0
1863.b.1863.1,1863.b,1863,1863,"""[[0,-1,-1,0,1,0,-1],[1,1,0,1]]""","""[[3,[1,3,3]],[23,[1,8,14,-23]]]""",False,Q,Q,USp(4),1568557614569470907,0
1870.a.226270.1,1870.a,1870,226270,"""[[-9,2,-2,9,-1,1,-2],[1,1]]""","""[[2,[1,-1,0,2]],[5,[1,0,4,5]],[11,[1,-1,11,-11]],[17,[1,5,11,-17]]]""",False,Q,Q,USp(4),722300925764961852,0
1872.a.1872.1,1872.a,1872,1872,"""[[39,0,-32,0,8,0,-1],[0,1,0,1]]""","""[[2,[1,-1,2]],[3,[1,0,-1]],[13,[1,1,11,-13]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1190647277065957154,0
1872.b.29952.1,1872.b,1872,29952,"""[[0,1,-2,2,-1,1],[]]""","""[[2,[1]],[3,[1,0,1]],[13,[1,5,7,-13]]]""",False,Q,Q,USp(4),1560473461311964073,0
1872.b.479232.1,1872.b,1872,479232,"""[[0,2,3,-8,-15,4],[1]]""","""[[2,[1]],[3,[1,0,1]],[13,[1,5,7,-13]]]""",False,Q,Q,USp(4),1560473461311964073,0
1876.a.7504.1,1876.a,1876,7504,"""[[0,-1,1,0,-1,1],[1,0,1]]""","""[[2,[1,1,2]],[7,[1,4,10,7]],[67,[1,-5,61,67]]]""",False,Q,Q,USp(4),1105920169876279134,0
1888.a.241664.1,1888.a,1888,241664,"""[[0,-1,-1,-2,-1,1],[]]""","""[[2,[1]],[59,[1,-3,55,59]]]""",False,Q,Q,USp(4),956934867902584012,0
1888.a.483328.1,1888.a,1888,483328,"""[[56,64,1,-16,-3,1],[0,0,0,1]]""","""[[2,[1]],[59,[1,-3,55,59]]]""",False,Q,Q,USp(4),956934867902584012,0
1888.a.483328.2,1888.a,1888,483328,"""[[-4,20,-31,8,8,1],[]]""","""[[2,[1]],[59,[1,-3,55,59]]]""",False,Q,Q,USp(4),956934867902584012,0
1896.a.728064.1,1896.a,1896,728064,"""[[-3,11,0,-8,-2,1],[0,1,0,1]]""","""[[2,[1,-1]],[3,[1,2,4,3]],[79,[1,1,79,79]]]""",False,Q,Q,USp(4),1091655253207789541,0
1899.a.5697.1,1899.a,1899,5697,"""[[2,-3,0,0,1,-1],[1,0,0,1]]""","""[[3,[1,2,3]],[211,[1,-5,215,-211]]]""",False,Q,Q,USp(4),1560465821510596968,0
1900.a.3800.1,1900.a,1900,3800,"""[[0,-1,0,1],[1,1,0,1]]""","""[[2,[1,1,1]],[5,[1,3,5]],[19,[1,6,12,-19]]]""",False,Q,Q,USp(4),951231826476892433,0
1904.a.487424.1,1904.a,1904,487424,"""[[1,-1,-2,0,0,1],[0,1,0,1]]""","""[[2,[1,-1]],[7,[1,1,5,-7]],[17,[1,1,15,-17]]]""",False,Q,Q,USp(4),114752430433010833,0
1908.a.183168.1,1908.a,1908,183168,"""[[0,2,4,3,2],[1,0,0,1]]""","""[[2,[1,0,-1]],[3,[1,0,-1]],[53,[1,-5,47,53]]]""",False,Q,Q,USp(4),1906047966439051798,0
1911.a.5733.1,1911.a,1911,5733,"""[[-4,-1,-8,0,-4,1],[0,0,1]]""","""[[3,[1,-1,1,3]],[7,[1,0,-1]],[13,[1,1,11,-13]]]""",False,Q,Q,USp(4),1005041860790968222,0
1915.a.1915.1,1915.a,1915,1915,"""[[0,-1,0,0,-2,0,1],[1,1,0,1]]""","""[[5,[1,3,1,-5]],[383,[1,-20,362,383]]]""",False,Q,Q,USp(4),1336287959355397782,0
1919.a.1919.1,1919.a,1919,1919,"""[[0,0,1,1],[1,0,0,1]]""","""[[19,[1,0,18,19]],[101,[1,6,94,-101]]]""",False,Q,Q,USp(4),391658611357724491,0
1920.a.368640.1,1920.a,1920,368640,"""[[5,6,17,12,17,6,5],[1,1,1,1]]""","""[[2,[1]],[3,[1,-1,3,-3]],[5,[1,1,3,-5]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2305807258073272013,0
1922.a.3844.1,1922.a,1922,3844,"""[[0,2,-2,-3,1,1],[0,1,1]]""","""[[2,[1,0,1,-2]],[31,[1,-8,31]]]""",False,Q,Q,USp(4),1911033268370033632,0
1923.a.1923.1,1923.a,1923,1923,"""[[-1,1,-3,2,-3,1,-1],[1,1,0,1]]""","""[[3,[1,0,2,-3]],[641,[1,32,608,-641]]]""",False,Q,Q,USp(4),1562479886895796538,0
1923.b.17307.1,1923.b,1923,17307,"""[[2,1,3,0,1],[1,1,0,1]]""","""[[3,[1,2,0,-3]],[641,[1,22,662,641]]]""",False,Q,Q,USp(4),1890035427397394263,0
1929.a.1929.1,1929.a,1929,1929,"""[[0,0,-1,1,-1,1],[1,1,1]]""","""[[3,[1,1,1,-3]],[643,[1,45,687,643]]]""",False,Q,Q,USp(4),51978692065759293,0
1929.a.52083.1,1929.a,1929,52083,"""[[0,2,7,6,0,9],[1,1,1]]""","""[[3,[1,1,1,-3]],[643,[1,45,687,643]]]""",False,Q,Q,USp(4),51978692065759293,0
1935.a.52245.1,1935.a,1935,52245,"""[[-4,-1,3,2,2],[0,0,1,1]]""","""[[3,[1,0,-1]],[5,[1,1,3,-5]],[43,[1,5,47,43]]]""",False,Q,Q,USp(4),1402254699178521955,0
1935.a.52245.2,1935.a,1935,52245,"""[[-1134,927,-20,-82,-2,1],[0,1]]""","""[[3,[1,0,-1]],[5,[1,1,3,-5]],[43,[1,5,47,43]]]""",False,Q,Q,USp(4),1402254699178521955,0
1936.a.1936.1,1936.a,1936,1936,"""[[0,0,-1,0,2,0,-1],[1]]""","""[[2,[1,2,2]],[11,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1159662636608221872,0
1936.b.1936.1,1936.b,1936,1936,"""[[0,0,0,0,-1,0,-1],[1]]""","""[[2,[1,2,2]],[11,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),218486125215102914,0
1936.b.234256.1,1936.b,1936,234256,"""[[-121,0,47,0,-6],[0,0,0,1]]""","""[[2,[1,2,2]],[11,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),218486125215102914,0
1944.a.34992.1,1944.a,1944,34992,"""[[0,1,-3,0,2,2],[0,1]]""","""[[2,[1,1]],[3,[1,0,3]]]""",False,Q,Q,USp(4),1604855866383940507,0
1947.a.578259.1,1947.a,1947,578259,"""[[-1,-8,-16,1,2,1],[0,1,1]]""","""[[3,[1,0,2,3]],[11,[1,-1,11,-11]],[59,[1,11,47,-59]]]""",False,Q,Q,USp(4),1420759806415832942,0
1950.a.105300.1,1950.a,1950,105300,"""[[0,1,36,330,36,1],[0,1,1]]""","""[[2,[1,0,1,-2]],[3,[1,1,3,3]],[5,[1,-2,1]],[13,[1,1,11,-13]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),289824846625436952,0
1950.a.97500.1,1950.a,1950,97500,"""[[0,5,12,17,12,5],[0,1,1]]""","""[[2,[1,0,1,-2]],[3,[1,1,3,3]],[5,[1,-2,1]],[13,[1,1,11,-13]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),289824846625436952,0
1952.a.15616.1,1952.a,1952,15616,"""[[0,-1,0,1],[0,1,0,1]]""","""[[2,[1,1]],[61,[1,5,65,61]]]""",False,Q,Q,USp(4),1092158224525669915,0
1952.b.999424.1,1952.b,1952,999424,"""[[1,-2,-3,4,3,2],[]]""","""[[2,[1]],[61,[1,1,59,-61]]]""",False,Q,Q,USp(4),442857924514439262,0
1961.a.1961.1,1961.a,1961,1961,"""[[0,-1,-1],[1,0,0,1]]""","""[[37,[1,1,35,-37]],[53,[1,12,64,53]]]""",False,Q,Q,USp(4),37937404707651523,0
1973.a.1973.1,1973.a,1973,1973,"""[[0,-1,1,0,0,-1,1],[1]]""","""[[1973,[1,-63,2035,-1973]]]""",False,Q,Q,USp(4),1695228382013788024,0
1981.a.1981.1,1981.a,1981,1981,"""[[0,0,-1,-1,2,1],[1]]""","""[[7,[1,-2,8,-7]],[283,[1,23,259,-283]]]""",False,Q,Q,USp(4),2286508841985904330,0
1982.a.63424.1,1982.a,1982,63424,"""[[0,0,1,-1,1,-1],[1,1]]""","""[[2,[1,1,0,-2]],[991,[1,-19,971,991]]]""",False,Q,Q,USp(4),929089673770168408,0
1985.a.1985.1,1985.a,1985,1985,"""[[0,-1,0,0,1,1],[1,0,0,1]]""","""[[5,[1,1,5,5]],[397,[1,37,359,-397]]]""",False,Q,Q,USp(4),2288255493731735725,0
1987.a.1987.1,1987.a,1987,1987,"""[[-1,-1,1,0,-1],[1,1,0,1]]""","""[[1987,[1,37,1949,-1987]]]""",False,Q,Q,USp(4),19072453013413426,0
1988.a.3976.1,1988.a,1988,3976,"""[[6,16,31,35,31,16,6],[0,1,1]]""","""[[2,[1,2,1]],[7,[1,-1,7,-7]],[71,[1,-1,71,-71]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2130683269061413929,0
1989.a.1989.1,1989.a,1989,1989,"""[[-1,-1],[1,1,1,1]]""","""[[3,[1,0,1]],[13,[1,2,14,13]],[17,[1,-2,14,17]]]""",False,Q,Q,USp(4),1281309101000336075,0
