Baselabel,Conductor,BadPrimes,HardPrimes,Is_Even,Indicator,LocalFactors,euler_factors,sealed
2.440.3t2.a,440,"[2, 5, 11]","[2, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, -1], [1, 1, 1], [1, -1], [1, 1, 1], [1, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, -2, 1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1]]",0
2.440.6t3.a,440,"[2, 5, 11]","[2, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [-1]], [[1], [1]]]","[[1, -1], [1, -1, 1], [1, 1], [1, 1, 1], [1, 1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, -1, 1], [1, 2, 1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1]]",0
2.440.6t3.b,440,"[2, 5, 11]","[2, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [-1]], [[1], [1]]]",null,0
2.440.6t3.c,440,"[2, 5, 11]","[2, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]","[[1, 1], [1, 1, 1], [1, -1], [1, -1, 1], [1, 1], [1, 0, -1], [1, -1, 1], [1, -1, 1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -1, 1], [1, -2, 1], [1, 1, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1]]",0
2.440.6t3.d,440,"[2, 5, 11]","[2, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.440.6t3.e,440,"[2, 5, 11]","[2, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]","[[1, 1], [1, -1, 1], [1, 1], [1, -1, 1], [1, -1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, 1, 1], [1, 2, 1], [1, 1, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1]]",0
2.440.6t3.f,440,"[2, 5, 11]","[2, 5, 11, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.445.4t3.a,445,"[5, 89]","[2, 5, 89]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.445.4t3.b,445,"[5, 89]","[2, 5, 7, 89]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.445.4t3.c,445,"[5, 89]","[5, 89]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.451.3t2.a,451,"[11, 41]","[11, 41]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, -1], [1, -2, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, -2, 1]]",0
2.451.6t3.a,451,"[11, 41]","[2, 3, 11, 41]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]]]",null,0
2.451.6t3.b,451,"[11, 41]","[2, 11, 41]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]]]","[[1, 0, -1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 1], [1, 2, 1], [1, -1, 1], [1, -1, 1], [1, 1, 1], [1, -1, 1], [1, 1, 1], [1, 1, 1], [1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, -1, 1], [1, -2, 1]]",0
2.452.4t3.a,452,"[2, 113]","[2, 113]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]","[[1, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, 0, 1], [1, -2, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, -1]]",0
2.452.4t3.b,452,"[2, 113]","[2, 7, 113, 4421]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]",null,0
2.452.4t3.c,452,"[2, 113]","[2, 113]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]",null,0
2.456.4t3.a,456,"[2, 3, 19]","[2, 3, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1], [-1]]]","[[1, 1], [1, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, -2, 1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, 0, 1], [1, -2, 1]]",0
