Baselabel,Conductor,BadPrimes,HardPrimes,Is_Even,Indicator,LocalFactors,euler_factors,sealed
2.23.3t2.a,23,[23],[23],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]",null,0
2.23.3t2.b,23,[23],[23],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1]]",0
2.31.3t2.a,31,[31],[31],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]",null,0
2.31.3t2.b,31,[31],[31],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]",0
2.39.4t3.a,39,"[3, 13]","[3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]","[[1, 0, 1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, -2, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1]]",0
2.39.4t3.b,39,"[3, 13]","[3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.39.4t3.c,39,"[3, 13]","[3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.44.3t2.a,44,"[2, 11]","[2, 11]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]",null,0
2.44.3t2.b,44,"[2, 11]","[2, 11]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]","[[1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1]]",0
2.55.4t3.a,55,"[5, 11]","[2, 3, 5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.55.4t3.b,55,"[5, 11]","[5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.55.4t3.c,55,"[5, 11]","[5, 11]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]","[[1, 0, 1], [1, 0, -1], [1, 1], [1, 0, 1], [1, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1]]",0
2.56.4t3.a,56,"[2, 7]","[2, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.56.4t3.b,56,"[2, 7]","[2, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]","[[1, 1], [1, 0, 1], [1, 0, 1], [1, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1]]",0
2.56.4t3.c,56,"[2, 7]","[2, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.59.3t2.a,59,[59],[59],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1]]",0
2.63.4t3.a,63,"[3, 7]","[3, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]","[[1, 0, 1], [1], [1, 0, -1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 0, 1]]",0
2.63.4t3.b,63,"[3, 7]","[3, 5, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]",null,0
2.63.4t3.c,63,"[3, 7]","[3, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]",null,0
2.68.4t3.a,68,"[2, 17]","[2, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1], [-1]]]","[[1, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1]]",0
2.68.4t3.b,68,"[2, 17]","[2, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.68.4t3.c,68,"[2, 17]","[2, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.76.3t2.a,76,"[2, 19]","[2, 19]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]","[[1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1]]",0
2.76.3t2.b,76,"[2, 19]","[2, 19]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]",null,0
2.80.4t3.a,80,"[2, 5]","[2, 5]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]","[[1], [1, 0, 1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, -2, 1], [1, 0, -1], [1, -2, 1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, 0, -1]]",0
2.80.4t3.b,80,"[2, 5]","[2, 5]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]",null,0
2.80.4t3.c,80,"[2, 5]","[2, 5]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]",null,0
2.83.3t2.a,83,[83],[83],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1]]",0
2.87.3t2.a,87,"[3, 29]","[3, 29]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 1, 1], [1, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1]]",0
2.87.6t3.a,87,"[3, 29]","[3, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]]]",null,0
2.87.6t3.b,87,"[3, 29]","[3, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]]]","[[1, -1, 1], [1, 1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, -1, 1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, -1, 1]]",0
2.95.4t3.a,95,"[5, 19]","[5, 7, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]",null,0
2.95.4t3.b,95,"[5, 19]","[5, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]",null,0
2.95.4t3.c,95,"[5, 19]","[5, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]","[[1, 0, 1], [1, 0, 1], [1, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1]]",0
2.104.3t2.a,104,"[2, 13]","[2, 13]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]",null,0
2.104.3t2.b,104,"[2, 13]","[2, 13]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, -2, 1]]",0
2.104.6t3.a,104,"[2, 13]","[2, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]]]","[[1, 1], [1, 1, 1], [1, -1, 1], [1, -1, 1], [1, 0, -1], [1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, -1, 1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, -1, 1], [1, -2, 1]]",0
2.104.6t3.b,104,"[2, 13]","[2, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]]]",null,0
2.107.3t2.a,107,[107],[107],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 0, -1]]",0
2.108.3t2.a,108,"[2, 3]","[2, 3]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]]]",null,0
2.108.3t2.b,108,"[2, 3]","[2, 3]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]]]","[[1], [1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1]]",0
2.111.4t3.a,111,"[3, 37]","[3, 37]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]","[[1, 0, 1], [1, -1], [1, 0, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1]]",0
2.111.4t3.b,111,"[3, 37]","[2, 3, 37]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]",null,0
2.111.4t3.c,111,"[3, 37]","[2, 3, 7, 37]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]",null,0
2.116.3t2.a,116,"[2, 29]","[2, 29]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1]]",0
2.116.6t3.a,116,"[2, 29]","[2, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.116.6t3.b,116,"[2, 29]","[2, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]","[[1, 1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, -1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1]]",0
2.128.4t3.a,128,[2],[2],False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]]]","[[1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, -2, 1]]",0
2.128.4t3.b,128,[2],"[2, 233]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]]]",null,0
2.128.4t3.c,128,[2],[2],False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]]]",null,0
2.135.3t2.a,135,"[3, 5]","[3, 5]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]",null,0
2.135.3t2.b,135,"[3, 5]","[3, 5]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]","[[1, 1, 1], [1], [1, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, -2, 1]]",0
2.135.6t3.a,135,"[3, 5]","[3, 5]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]",null,0
2.135.6t3.b,135,"[3, 5]","[3, 5]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]","[[1, -1, 1], [1], [1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, -1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 1, 1], [1, 2, 1]]",0
2.136.4t3.a,136,"[2, 17]","[2, 17]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1], [1]]]",null,0
2.136.4t3.b,136,"[2, 17]","[2, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]","[[1, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 1], [1, 2, 1], [1, 0, 1], [1, 0, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, 1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, -2, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1]]",0
2.136.4t3.c,136,"[2, 17]","[2, 17]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1], [1]]]",null,0
2.136.4t3.d,136,"[2, 17]","[2, 3, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.136.4t3.e,136,"[2, 17]","[2, 17, 19, 31, 47]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1], [1]]]",null,0
2.136.4t3.f,136,"[2, 17]","[2, 3, 17, 331]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]]]",null,0
2.139.3t2.a,139,[139],[139],False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]","[[1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, -2, 1], [1, -2, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 1, 1]]",0
2.140.3t2.a,140,"[2, 5, 7]","[2, 5, 7]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]","[[1], [1, 1, 1], [1, -1], [1, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, -2, 1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 0, -1]]",0
2.140.6t3.a,140,"[2, 5, 7]","[2, 5, 7]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]",null,0
