lmfdb_label,Clabel,conductor,ainvs
475.b3,475a1,475,"[0, -1, 1, 17, -7]"
475.c1,475b2,475,"[1, -1, 0, -617, 5916]"
475.c2,475b1,475,"[1, -1, 0, 8, 291]"
477.a1,477a1,477,"[1, -1, 0, 3, -10]"
480.a1,480e3,480,"[0, -1, 0, -3601, 84385]"
480.a2,480e2,480,"[0, -1, 0, -496, -2204]"
480.a3,480e1,480,"[0, -1, 0, -226, 1360]"
480.a4,480e4,480,"[0, -1, 0, 24, 3960]"
480.b1,480a2,480,"[0, -1, 0, -81, -255]"
480.b2,480a3,480,"[0, -1, 0, -56, 180]"
480.b3,480a1,480,"[0, -1, 0, -6, 0]"
480.b4,480a4,480,"[0, -1, 0, 24, -24]"
480.c1,480f3,480,"[0, -1, 0, -480, 4212]"
480.c2,480f2,480,"[0, -1, 0, -80, -168]"
480.c3,480f1,480,"[0, -1, 0, -30, 72]"
480.c4,480f4,480,"[0, -1, 0, 15, 225]"
480.d1,480b2,480,"[0, -1, 0, -160, -728]"
480.d2,480b3,480,"[0, -1, 0, -40, 100]"
480.d3,480b1,480,"[0, -1, 0, -10, -8]"
480.d4,480b4,480,"[0, -1, 0, 15, -63]"
480.e1,480c3,480,"[0, 1, 0, -81, 255]"
480.e2,480c2,480,"[0, 1, 0, -56, -180]"
480.e3,480c1,480,"[0, 1, 0, -6, 0]"
480.e4,480c4,480,"[0, 1, 0, 24, 24]"
480.f1,480d2,480,"[0, 1, 0, -3601, -84385]"
480.f2,480d3,480,"[0, 1, 0, -496, 2204]"
480.f3,480d1,480,"[0, 1, 0, -226, -1360]"
480.f4,480d4,480,"[0, 1, 0, 24, -3960]"
480.g1,480g3,480,"[0, 1, 0, -160, 728]"
480.g2,480g2,480,"[0, 1, 0, -40, -100]"
480.g3,480g1,480,"[0, 1, 0, -10, 8]"
480.g4,480g4,480,"[0, 1, 0, 15, 63]"
480.h1,480h2,480,"[0, 1, 0, -480, -4212]"
480.h2,480h3,480,"[0, 1, 0, -80, 168]"
480.h3,480h1,480,"[0, 1, 0, -30, -72]"
480.h4,480h4,480,"[0, 1, 0, 15, -225]"
481.a1,481a1,481,"[1, -1, 0, -1693, 27240]"
481.a2,481a2,481,"[1, -1, 0, -1688, 27405]"
482.a1,482a1,482,"[1, 0, 1, -44, -150]"
483.a1,483b1,483,"[0, 1, 1, 2, 1]"
483.b1,483a1,483,"[0, 1, 1, -96, -457]"
484.a1,484a2,484,"[0, 1, 0, -9357, 347279]"
484.a2,484a1,484,"[0, 1, 0, 323, 2671]"
485.a1,485a2,485,"[0, 1, 1, -6911, -223455]"
485.a2,485a1,485,"[0, 1, 1, -121, -64]"
485.a3,485a3,485,"[0, 1, 1, -81, 255]"
485.b1,485b1,485,"[0, 0, 1, -2, 0]"
486.a1,486b2,486,"[1, -1, 0, -96, 386]"
486.a2,486b1,486,"[1, -1, 0, -6, -4]"
486.b1,486a2,486,"[1, -1, 0, -177, 953]"
486.b2,486a1,486,"[1, -1, 0, 3, 5]"
486.c1,486c2,486,"[1, -1, 0, -258, -748]"
486.c2,486c1,486,"[1, -1, 0, -123, 557]"
486.d1,486f2,486,"[1, -1, 1, -1109, -13931]"
486.d2,486f1,486,"[1, -1, 1, -29, 37]"
486.e1,486d1,486,"[1, -1, 1, -20, -29]"
486.e2,486d2,486,"[1, -1, 1, 25, -161]"
486.f1,486e2,486,"[1, -1, 1, -56, 163]"
486.f2,486e1,486,"[1, -1, 1, -11, -11]"
490.a1,490c2,490,"[1, 0, 1, -7768, -458202]"
490.a2,490c1,490,"[1, 0, 1, 807, 11708]"
490.b1,490d2,490,"[1, 1, 0, -32, 64]"
490.b2,490d1,490,"[1, 1, 0, 3, 1]"
490.c1,490a2,490,"[1, 0, 1, -1594, -26708]"
490.c2,490a1,490,"[1, 0, 1, 121, 46]"
490.d1,490b2,490,"[1, 1, 0, -158, 1268]"
490.d2,490b1,490,"[1, 1, 0, 17, -27]"
490.e1,490k1,490,"[1, -1, 1, -132, -549]"
490.e2,490k2,490,"[1, -1, 1, 918, 5289]"
490.f1,490g2,490,"[1, 0, 0, -1191, 15721]"
490.f2,490g1,490,"[1, 0, 0, -71, 265]"
490.g1,490e2,490,"[1, 0, 0, -491, -4229]"
490.g2,490e1,490,"[1, 0, 0, -1, -15]"
490.h1,490h4,490,"[1, -1, 1, -13117, 581459]"
490.h2,490h3,490,"[1, -1, 1, -4297, -100229]"
490.h3,490h2,490,"[1, -1, 1, -867, 8159]"
490.h4,490h1,490,"[1, -1, 1, 113, 711]"
490.i1,490j2,490,"[1, 1, 1, -58360, -5450663]"
490.i2,490j1,490,"[1, 1, 1, -3480, -94375]"
490.j1,490i2,490,"[1, 1, 1, -24060, 1426487]"
490.j2,490i1,490,"[1, 1, 1, -50, 5095]"
490.k1,490f1,490,"[1, -1, 1, -6453, 201121]"
