label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
637.2.a.g,637,2,0,0,0,-6,0,0,2,0,6,-6,6,2,-4,-12,-10,-6,-6,-12,-12,-12,-12,10,14,-18,-6,2
637.2.a.h,637,3,0,-2,-4,-5,0,-4,3,-4,-7,1,-7,3,-10,-6,9,-17,13,-22,24,-14,4,-5,1,-23,11,3
637.2.a.i,637,3,0,-2,4,5,0,-4,-3,4,7,1,-7,-3,-10,6,9,17,13,22,-24,-14,4,5,1,23,-11,-3
637.2.a.j,637,3,0,1,2,-2,0,2,-3,-4,4,10,24,4,0,-2,10,8,8,4,6,-12,-6,10,-14,12,-2,10
637.2.a.k,637,5,0,4,0,-2,0,11,-5,5,-9,10,-3,6,4,-14,2,-1,17,-11,11,13,15,0,2,-6,4,12
637.2.a.l,637,5,0,4,0,2,0,11,5,-5,9,10,-3,-6,4,14,2,1,17,11,-11,13,15,0,2,6,-4,-12
637.2.a.m,637,6,0,0,-8,-6,0,4,-6,-16,-2,-6,-6,-6,0,8,2,-30,-14,-24,0,16,8,6,-22,-50,-26,14
637.2.a.n,637,6,0,0,8,6,0,4,6,16,2,-6,-6,6,0,-8,2,30,-14,24,0,16,8,-6,-22,50,26,-14
638.2.a.a,638,2,0,-2,-3,0,0,2,-5,1,2,3,2,-6,-13,-5,-10,-18,-6,6,-2,-4,11,-19,-15,15,-12,-12
638.2.a.b,638,2,0,-2,1,2,-4,-2,-9,-9,0,-1,-2,0,3,3,-8,16,-4,4,-8,-8,1,-15,3,-7,2,-12
638.2.a.c,638,2,0,2,-3,-4,-2,2,-9,-1,-2,-11,-2,-4,7,15,-4,-14,-8,4,6,-2,-7,-15,-13,-7,0,2
638.2.a.d,638,2,0,2,-3,-2,-2,-2,-5,-7,-8,1,2,-2,-13,-9,-6,-4,10,-6,-4,2,15,13,25,3,22,-10
638.2.a.e,638,4,0,-4,2,-4,4,-4,10,10,4,-2,4,8,14,18,8,-8,4,-20,32,0,-6,10,6,14,-8,4
638.2.a.f,638,4,0,4,2,0,6,-4,12,-10,12,-8,-4,6,2,-4,10,-4,-6,10,-8,-10,12,0,-2,10,-24,-14
638.2.a.g,638,4,0,4,4,2,2,4,2,0,-2,8,4,8,0,-12,-4,-2,-8,4,10,10,-22,0,-8,2,-2,14
638.2.a.h,638,5,0,-5,4,4,4,5,6,-2,6,6,-5,2,10,0,10,-2,0,-6,-8,32,0,32,4,-22,16,-2
639.2.a.a,639,1,0,-1,0,-2,2,0,-2,0,0,0,2,-10,-6,0,-4,-12,4,-12,10,2,1,-10,4,4,-6,-2
639.2.a.b,639,2,0,-2,0,0,-4,0,-4,-4,0,8,-16,-4,8,-12,0,-8,12,-16,-12,4,-2,-16,0,0,-16,-4
639.2.a.c,639,2,0,-1,0,1,-2,-6,-3,-6,-4,-3,-7,4,-1,-3,13,9,-5,6,-24,13,2,-2,-9,-20,-6,9
