label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
11.2.a.a,11,1,0,-2,-1,1,-2,1,4,-2,0,-1,0,7,3,-8,-6,8,-6,5,12,-7,-3,4,-10,-6,15,-7
14.2.a.a,14,1,0,-1,-2,0,1,0,-4,6,2,0,-6,-4,2,6,8,-12,6,-6,8,-4,0,2,8,-6,-6,-10
15.2.a.a,15,1,0,-1,-1,1,0,-4,-2,2,4,0,-2,0,-10,10,4,8,-10,-4,-2,12,-8,10,0,12,-6,2
17.2.a.a,17,1,0,-1,0,-2,4,0,-2,1,-4,4,6,4,-2,-6,4,0,6,-12,-10,4,-4,-6,12,-4,10,2
19.2.a.a,19,1,0,0,-2,3,-1,3,-4,-3,1,0,6,-4,2,-6,-1,-3,12,-6,-1,-4,6,-7,8,12,12,8
20.2.a.a,20,1,0,0,-2,-1,2,0,2,-6,-4,6,6,-4,2,6,-10,-6,-6,12,2,2,-12,2,8,6,-6,2
21.2.a.a,21,1,0,-1,1,-2,-1,4,-2,-6,4,0,-2,0,6,2,-4,0,6,12,-2,4,0,-6,-16,-12,-14,18
23.2.a.a,23,2,0,-1,0,-2,2,-6,6,6,-4,2,-6,0,2,2,0,0,-8,4,4,-10,20,22,-4,-22,-12,22
24.2.a.a,24,1,0,0,-1,-2,0,4,-2,2,-4,-8,6,8,6,-6,4,0,-2,4,-2,-4,8,10,-8,-4,-6,2
26.2.a.a,26,1,0,-1,1,-3,-1,6,1,-3,2,0,6,-4,-7,0,-1,3,0,-6,8,14,-3,2,8,12,-6,-10
26.2.a.b,26,1,0,1,-3,-1,1,-2,-1,-3,6,-4,2,4,3,0,-5,13,12,-10,-8,-2,-5,-10,-4,0,6,14
27.2.a.a,27,1,0,0,0,0,-1,0,5,0,-7,0,0,-4,11,0,8,0,0,0,-1,5,0,-7,17,0,0,-19
29.2.a.a,29,2,0,-2,2,-2,0,2,-2,-4,12,-4,2,6,-8,8,10,2,2,4,-4,0,-12,8,-2,4,-8,-8
30.2.a.a,30,1,0,-1,1,-1,-4,0,2,6,-4,0,-6,8,2,-6,-4,0,-6,0,-10,-4,0,2,8,12,18,2
31.2.a.a,31,2,0,1,-2,2,-4,4,-2,6,0,-2,10,2,-4,14,-2,-4,-12,0,-6,16,4,8,-10,-12,10,-14
32.2.a.a,32,1,0,0,0,-2,0,0,6,2,0,0,-10,0,-2,10,0,0,14,0,-10,0,0,-6,0,0,10,18
33.2.a.a,33,1,0,1,-1,-2,4,1,-2,-2,0,8,-6,-8,6,-2,0,8,6,-4,6,-4,0,-14,-4,12,-6,2
34.2.a.a,34,1,0,1,-2,0,-4,6,2,-1,-4,0,0,-4,-4,6,8,0,-6,0,-4,8,0,2,8,0,-6,14
35.2.a.a,35,1,0,0,1,-1,1,-3,5,3,2,-6,3,-4,2,-12,-10,9,12,0,8,-4,0,2,-1,12,-12,-1
35.2.a.b,35,2,0,-1,-1,2,-2,1,5,-5,-6,-2,1,0,12,2,10,-5,-2,-8,6,4,16,-8,-9,8,6,-9
36.2.a.a,36,1,0,0,0,0,-4,0,2,0,8,0,0,-4,-10,0,8,0,0,0,14,-16,0,-10,-4,0,0,14
37.2.a.a,37,1,0,-2,-3,-2,-1,-5,-2,0,0,2,6,-4,-1,-9,2,-9,1,8,-8,8,9,-1,4,-15,4,4
37.2.a.b,37,1,0,0,1,0,-1,3,-4,6,2,6,-6,-4,1,-9,8,3,-3,12,8,-4,-15,11,-10,9,6,8
38.2.a.a,38,1,0,-1,1,0,-1,-6,5,3,1,3,9,-4,2,0,8,0,-3,9,-10,5,-6,-7,-10,-6,-12,-10
38.2.a.b,38,1,0,1,-1,-4,3,2,-1,3,-1,-1,-5,-8,-2,-8,4,8,-1,15,2,3,2,9,-10,-6,0,-2
39.2.a.a,39,1,0,1,-1,2,-4,4,1,2,0,0,-10,4,-2,6,-12,0,6,12,-2,-8,0,2,8,4,-2,10
39.2.a.b,39,2,0,-2,2,0,0,-4,-2,4,0,-8,4,-8,-4,16,8,-12,-4,4,4,8,4,12,0,-4,24,-4
40.2.a.a,40,1,0,0,0,1,-4,4,-2,2,4,4,-2,-8,6,-6,-8,4,6,-4,-2,8,0,-6,0,-16,-6,-14
41.2.a.a,41,3,0,-1,0,-2,6,2,-2,-6,4,4,-6,16,-6,3,-4,0,6,-8,2,-2,20,-2,32,0,-6,6
42.2.a.a,42,1,0,1,-1,-2,-1,-4,6,2,-4,8,-2,0,-10,-6,-4,0,6,4,6,4,8,10,0,-4,-6,-14
43.2.a.a,43,1,0,-2,-2,-4,0,3,-5,-3,-2,-1,-6,-1,0,5,-1,4,-5,-12,2,-3,2,2,-8,15,-4,7
43.2.a.b,43,2,0,0,0,4,-4,-2,2,10,-4,2,0,-6,0,-2,2,12,22,-4,8,2,-12,-24,4,18,-12,-2
44.2.a.a,44,1,0,0,1,-3,2,-1,-4,6,8,-3,0,5,-1,0,-10,0,-6,3,-4,-1,15,-4,2,6,-9,-7
45.2.a.a,45,1,0,1,0,-1,0,4,-2,-2,4,0,2,0,-10,-10,4,-8,10,4,-2,12,8,10,0,-12,6,2
46.2.a.a,46,1,0,-1,0,4,-4,2,-2,-2,-2,1,2,0,-4,6,10,0,-4,12,-8,-10,0,6,-12,14,-6,6
47.2.a.a,47,4,0,1,0,-2,4,-6,8,6,0,-6,-10,-8,10,6,2,4,-6,4,-6,10,-12,22,20,20,-6,30
48.2.a.a,48,1,0,0,1,-2,0,-4,-2,2,4,8,6,-8,6,-6,-4,0,-2,-4,-2,4,-8,10,8,4,-6,2
49.2.a.a,49,1,0,1,0,0,0,4,0,0,0,8,2,0,-6,0,-12,0,-10,0,0,4,16,0,8,0,0,0
50.2.a.a,50,1,0,-1,1,0,2,-3,-4,-3,5,6,0,2,2,-3,-4,12,6,0,2,-13,12,11,-10,-9,15,2
50.2.a.b,50,1,0,1,-1,0,-2,-3,4,3,5,-6,0,2,-2,-3,4,-12,-6,0,2,13,12,-11,-10,9,15,-2
51.2.a.a,51,1,0,0,1,3,-4,-3,-1,-1,-1,9,6,2,-4,-3,-7,-6,-6,6,8,-4,12,2,-10,-6,0,-16
51.2.a.b,51,2,0,-1,-2,3,0,-1,5,2,3,-9,0,-2,-2,-3,-3,-14,8,6,10,8,4,-8,6,-10,6,-14
52.2.a.a,52,1,0,0,0,2,-2,-2,-1,6,-6,8,2,10,-6,-6,4,-2,6,-10,-2,10,10,2,-4,-6,-6,2
53.2.a.a,53,1,0,-1,-3,0,-4,0,-3,-3,-5,7,-7,4,5,6,-2,-2,-1,-2,-8,-12,1,-4,-1,-1,-14,1
53.2.a.b,53,3,0,-1,3,-2,4,-4,3,-5,11,3,-5,-2,-5,-10,18,-10,3,2,-10,6,-5,6,-7,27,-2,-1
54.2.a.a,54,1,0,-1,0,3,-1,-3,-4,0,2,-6,6,5,2,-6,-10,6,9,12,8,14,0,-7,8,-3,-18,-1
54.2.a.b,54,1,0,1,0,-3,-1,3,-4,0,2,6,-6,5,2,6,-10,-6,-9,-12,8,14,0,-7,8,3,18,-1
55.2.a.a,55,1,0,1,0,1,0,-1,2,6,-4,4,6,-8,-2,2,4,-12,-2,4,-10,-16,8,14,8,-4,10,10
55.2.a.b,55,2,0,2,0,-2,-4,2,-8,8,0,0,4,0,-4,12,-12,0,12,-8,4,8,0,-8,8,-12,-4,-4
56.2.a.a,56,1,0,0,0,2,-1,-4,2,-6,8,0,6,8,-2,2,-4,-8,6,0,-6,-4,-8,10,16,8,-6,-6
56.2.a.b,56,1,0,0,2,-4,1,0,0,-2,-2,8,2,4,-6,-2,8,-4,-10,6,4,-12,0,-14,-8,6,10,-2
57.2.a.a,57,1,0,-2,-1,-3,-5,1,2,-1,-1,-4,-2,-6,0,0,-1,-9,10,-8,-1,8,-12,-11,16,12,-6,-10
57.2.a.b,57,1,0,-2,1,1,3,-3,-6,3,-1,4,-10,2,8,-8,-1,3,-6,0,7,8,12,-11,0,4,10,-2
57.2.a.c,57,1,0,1,1,-2,0,0,6,-6,-1,4,2,8,-10,-2,-4,12,-6,-12,-2,-4,0,10,0,16,-2,10
58.2.a.a,58,1,0,-1,-3,-3,-2,-1,3,-4,-8,0,-1,3,-8,-2,7,11,1,-4,4,-4,-2,-12,-7,0,-6,-6
58.2.a.b,58,1,0,1,-1,1,-2,-3,-1,8,0,4,-1,-3,8,2,-11,13,-11,0,-8,-12,2,4,15,4,-10,-2
59.2.a.a,59,5,0,0,-2,2,2,-2,8,-1,6,-8,14,0,18,-10,-4,-20,-10,5,22,0,3,-8,10,6,10,-22
61.2.a.a,61,1,0,-1,-2,-3,1,-5,1,4,-4,-9,-6,0,8,5,-8,4,6,9,-1,-7,-8,-11,3,4,-4,-14
61.2.a.b,61,3,0,1,2,-1,-3,13,-9,-2,0,5,4,-2,-6,3,-14,-4,-2,29,3,9,14,-1,13,-8,-4,10
62.2.a.a,62,1,0,1,0,-2,0,0,2,-6,4,8,2,-1,10,-6,8,-8,-6,-12,-6,-12,8,10,-8,8,-6,2
62.2.a.b,62,2,0,-2,2,0,4,-6,-2,0,-8,0,-6,2,10,12,-2,12,6,-12,-2,16,0,-20,4,6,12,4
63.2.a.a,63,1,0,1,0,2,-1,-4,-2,6,4,0,2,0,6,-2,-4,0,-6,-12,-2,4,0,-6,-16,12,14,18
63.2.a.b,63,2,0,0,0,0,2,0,4,0,-8,0,0,-8,4,0,-8,0,0,0,-20,-8,0,28,16,0,0,28
64.2.a.a,64,1,0,0,0,2,0,0,-6,2,0,0,10,0,2,10,0,0,-14,0,10,0,0,-6,0,0,10,18
65.2.a.a,65,1,0,-1,-2,-1,-4,2,-1,2,-6,-6,2,-10,-2,-6,10,4,2,6,2,-4,6,-6,-12,-16,2,-2
65.2.a.b,65,2,0,-2,0,2,4,4,-2,-4,4,0,0,12,0,-12,-8,-4,-12,12,-16,-4,4,0,0,-12,12,-4
65.2.a.c,65,2,0,0,2,-2,4,-6,2,0,-2,6,-12,10,-8,0,10,12,0,-6,4,-8,6,-8,4,-12,-12,4
66.2.a.a,66,1,0,-1,1,0,2,-1,-4,-6,-4,6,6,8,-10,6,8,-6,0,0,8,-4,6,2,14,-12,-6,14
66.2.a.b,66,1,0,1,-1,2,-4,-1,-6,2,4,4,6,0,6,-6,4,-12,2,12,-14,4,-12,-6,-4,4,10,-14
66.2.a.c,66,1,0,1,1,-4,-2,1,4,-2,0,-6,10,-8,-2,2,4,-2,4,0,-8,-12,2,-6,10,4,10,-2
67.2.a.a,67,1,0,2,-2,2,-2,-4,2,3,7,9,-5,-10,-1,0,-2,-1,10,9,-2,1,0,-7,-8,4,7,0
67.2.a.b,67,2,0,-3,-3,-6,-1,0,-7,-6,1,6,-6,-2,-1,-3,3,-15,-18,12,-7,-2,12,-8,-7,-15,0,2
67.2.a.c,67,2,0,-1,1,4,1,2,-1,6,-11,-2,10,0,3,5,-9,-7,0,-12,-9,2,0,16,-11,13,-16,0
68.2.a.a,68,2,0,0,2,0,-2,-6,4,-2,4,-6,0,-2,16,-12,4,0,12,12,-8,16,-6,4,-14,-12,12,4
69.2.a.a,69,1,0,1,1,0,-2,4,-6,4,2,-1,2,4,2,2,10,0,-12,-12,-6,-10,8,-14,10,12,-16,-10
69.2.a.b,69,2,0,0,-2,-2,2,8,0,-10,10,2,0,-4,0,-4,2,-8,-6,8,0,6,-16,-4,6,8,2,8
70.2.a.a,70,1,0,1,0,-1,-1,4,-6,2,0,0,6,8,-10,2,4,8,-2,-8,-14,-12,-16,2,-8,8,10,2
71.2.a.a,71,3,0,-1,1,5,2,0,-6,-2,1,-12,11,12,-15,-2,13,4,-18,-4,16,-12,3,27,-3,-19,1,22
71.2.a.b,71,3,0,0,-1,-3,2,-2,12,2,11,8,-5,-6,9,14,-17,-10,0,-22,8,-12,3,3,7,23,13,4
72.2.a.a,72,1,0,0,0,2,0,-4,-2,-2,-4,8,-6,8,6,6,4,0,2,-4,-2,-4,-8,10,-8,4,6,2
73.2.a.a,73,1,0,1,0,2,2,-2,-6,2,8,4,2,-2,-6,6,-2,6,10,-6,-14,8,0,1,-4,-14,-6,-10
73.2.a.b,73,2,0,-3,-3,-3,-6,-3,1,0,2,-15,6,2,-4,0,-2,-6,6,-12,7,16,-21,-2,-19,-3,12,-9
73.2.a.c,73,2,0,1,1,-1,-2,7,-1,-4,-14,13,2,6,8,-12,6,18,-2,0,-9,4,3,2,1,7,12,-5
74.2.a.a,74,2,0,-2,3,-1,2,-1,-1,-12,4,-3,3,3,2,9,-6,2,-12,14,-3,11,12,-21,-7,20,-4,-4
74.2.a.b,74,2,0,2,-1,1,-2,-5,1,0,0,-1,-3,17,-2,17,-6,2,-8,-14,19,-9,-12,3,3,-20,-12,8
75.2.a.a,75,1,0,-2,1,0,3,2,-1,-2,-5,-6,10,-3,-2,-8,-1,-2,4,-10,7,3,-8,14,0,-6,0,-17
75.2.a.b,75,1,0,1,1,0,0,-4,2,-2,4,0,-2,0,10,10,-4,-8,10,-4,-2,-12,-8,-10,0,-12,-6,-2
75.2.a.c,75,1,0,2,-1,0,-3,2,1,2,-5,6,10,-3,2,-8,1,2,-4,-10,7,-3,-8,-14,0,6,0,17
76.2.a.a,76,1,0,0,2,-1,-3,5,-4,-3,-1,8,-2,4,10,10,1,-1,-4,6,-13,-12,2,9,8,-12,12,-8
77.2.a.a,77,1,0,0,-3,-1,-1,-1,-4,2,-6,-5,10,1,-5,-2,-8,8,-6,3,-2,-3,1,10,6,12,-15,-5
77.2.a.b,77,1,0,0,1,3,1,-1,-4,-6,2,3,-6,5,11,6,8,0,-6,-9,-10,5,9,2,-10,12,-3,-1
77.2.a.c,77,1,0,1,2,-2,-1,1,4,4,0,-4,-6,10,-6,4,12,-10,-6,2,0,8,-12,-8,8,0,-6,-10
77.2.a.d,77,2,0,0,2,-4,2,-2,2,-2,4,-4,8,-10,-8,-18,16,10,8,2,-10,20,-12,-6,0,4,4,8
78.2.a.a,78,1,0,-1,-1,2,4,-4,1,2,-8,0,6,-4,-2,-10,4,8,-10,4,-2,-16,-8,2,8,12,14,10
79.2.a.a,79,1,0,-1,-1,-3,-1,-2,3,-6,4,2,-6,-10,-2,-10,4,7,8,-3,-4,8,15,2,-1,-6,-7,-19
79.2.a.b,79,5,0,0,1,7,-5,2,-3,10,-4,2,6,2,0,30,-14,5,2,5,-6,-16,3,-12,5,-30,47,-1
80.2.a.a,80,1,0,0,0,1,4,-4,-2,2,-4,-4,-2,8,6,-6,8,-4,6,4,-2,-8,0,-6,0,16,-6,-14
80.2.a.b,80,1,0,0,2,-1,-2,0,2,-6,4,-6,6,4,2,6,10,6,-6,-12,2,-2,12,2,-8,-6,-6,2
81.2.a.a,81,2,0,0,0,0,4,0,-2,0,4,0,0,16,-14,0,4,0,0,0,-14,-20,0,-14,4,0,0,4
82.2.a.a,82,1,0,-1,-2,-2,-4,-2,4,-2,6,-8,0,-8,2,-1,-12,4,-4,8,-14,-2,8,10,4,12,-14,6
82.2.a.b,82,2,0,2,0,0,-4,0,0,4,-8,8,8,-8,0,-2,8,-4,24,-8,12,-8,-4,-16,-12,24,-12,-4
83.2.a.a,83,1,0,-1,-1,-2,-3,3,-6,5,2,-4,-7,5,-11,-2,-8,0,6,5,5,-2,2,0,14,-1,0,-8
83.2.a.b,83,6,0,1,1,2,3,-3,14,-5,-4,-5,-1,3,39,-1,-8,-12,14,-17,-5,16,-26,-6,-12,6,-22,6
84.2.a.a,84,1,0,0,-1,4,-1,2,-6,-4,-4,2,-2,0,2,0,-4,12,-6,-8,6,-8,14,-2,12,-4,0,-2
84.2.a.b,84,1,0,0,1,0,1,-6,2,0,-4,-6,6,8,2,12,-4,12,-6,0,-10,8,6,-10,-4,-12,12,-10
85.2.a.a,85,1,0,1,2,-1,-2,2,2,1,0,6,-6,-10,2,10,4,12,-10,8,-14,8,-2,-14,-14,4,6,2
85.2.a.b,85,2,0,-2,-4,-2,-4,-8,0,-2,0,-4,-4,0,-4,4,4,-4,12,-24,4,-12,0,-4,8,-4,-16,-4
85.2.a.c,85,2,0,0,2,2,-2,6,-8,-2,4,-6,0,10,-8,0,-8,12,12,12,4,-20,6,-8,-2,24,-12,4
86.2.a.a,86,2,0,-2,-1,3,4,0,4,-9,1,-9,3,1,1,3,2,-9,6,12,4,-20,0,28,-5,-6,6,-11
86.2.a.b,86,2,0,2,1,-3,0,-4,0,-1,11,3,-7,13,-5,-5,-2,3,-10,16,4,4,-16,4,-1,-10,2,-11
87.2.a.a,87,2,0,1,2,2,-4,4,-2,6,-10,-2,-2,-6,6,4,8,-4,18,0,-6,-4,-6,18,-30,-12,10,6
87.2.a.b,87,3,0,2,-3,0,4,-8,4,4,-2,6,3,6,8,-2,-4,-12,8,-20,4,0,-14,-8,-2,-8,-8,4
88.2.a.a,88,1,0,0,-3,-3,-2,-1,0,-6,4,1,-8,-7,-1,4,6,-8,2,-1,4,-5,3,16,2,-2,15,-7
88.2.a.b,88,2,0,0,1,3,-2,-2,-2,4,-8,9,-2,-7,-11,6,-6,16,8,-5,-6,15,-5,2,-14,10,-7,27
89.2.a.a,89,1,0,-1,-1,-1,-4,-2,2,3,-5,7,0,-9,-2,0,-7,-12,-3,4,6,12,-10,7,-6,12,-1,9
89.2.a.b,89,1,0,1,2,-2,2,-4,2,6,-2,2,-6,6,10,-6,2,12,-6,-10,-6,12,4,10,-12,-6,1,-18
89.2.a.c,89,5,0,-1,-3,-1,8,6,0,-13,13,1,2,19,-14,-2,1,-4,-11,0,4,4,-2,-25,54,-20,5,13
90.2.a.a,90,1,0,-1,0,1,2,6,-4,-6,-4,0,-6,-4,8,0,8,0,-6,6,2,-4,-12,-10,-4,12,12,2
90.2.a.b,90,1,0,1,0,-1,2,-6,-4,6,-4,0,6,-4,8,0,8,0,6,-6,2,-4,12,-10,-4,-12,-12,2
90.2.a.c,90,1,0,1,0,1,-4,0,2,-6,-4,0,6,8,2,6,-4,0,6,0,-10,-4,0,2,8,-12,-18,2
91.2.a.a,91,1,0,-2,0,-3,-1,-6,-1,4,5,3,-5,-3,-4,-6,-1,7,-9,8,-10,-6,-8,-13,3,15,3,7
91.2.a.b,91,1,0,0,-2,-3,1,0,1,-6,-7,3,-9,5,2,-6,-1,3,-9,0,-10,14,-6,11,-1,3,15,-1
91.2.a.c,91,2,0,0,0,6,2,0,-2,0,-6,-6,6,-2,-4,12,-10,6,-6,12,12,-12,-12,-10,14,18,6,-2
91.2.a.d,91,3,0,1,-2,2,-3,2,3,4,-4,10,24,-4,0,2,10,-8,8,-4,-6,-12,-6,-10,-14,-12,2,-10
92.2.a.a,92,1,0,0,-3,-2,-4,2,-5,4,-2,1,-7,-3,2,-9,-8,9,2,0,-2,14,-3,-3,-6,8,12,0
92.2.a.b,92,1,0,0,1,0,2,0,-1,-6,2,-1,-3,5,8,3,8,9,6,-12,14,8,-15,-7,-10,6,0,-10
93.2.a.a,93,2,0,-3,-2,-4,-4,-6,-2,-4,-8,2,2,-2,2,0,-6,4,0,-6,16,-24,18,2,8,-24,-4,18
93.2.a.b,93,3,0,0,3,-2,4,-2,4,-2,4,-6,-8,-3,0,-10,14,12,-10,26,-2,12,-10,-12,8,20,-18,4
94.2.a.a,94,1,0,1,0,0,0,2,-4,-2,-2,4,4,4,2,6,6,-1,2,12,2,2,8,-14,-16,-16,-10,-14
94.2.a.b,94,2,0,-2,0,4,-4,8,-4,0,-8,0,12,0,4,-12,-8,2,4,-8,-4,-8,12,12,0,0,0,12
95.2.a.a,95,3,0,1,2,3,0,-8,8,2,-3,-4,-10,4,20,-2,-4,0,16,-20,-2,2,-4,2,0,-32,2,20
95.2.a.b,95,4,0,-2,2,-4,4,4,2,4,4,-8,4,4,-6,16,4,-12,-10,0,20,-18,-20,28,-16,0,4,30
96.2.a.a,96,1,0,0,-1,2,4,-4,-2,-6,4,0,2,-4,-2,2,-4,-8,10,4,6,-4,16,-6,-4,-12,10,-14
96.2.a.b,96,1,0,0,1,2,-4,4,-2,-6,-4,0,2,4,-2,2,4,8,10,-4,6,4,-16,-6,4,12,10,-14
97.2.a.a,97,3,0,-4,-4,-3,-7,-7,-2,-3,5,-12,1,-8,-2,3,1,-17,2,19,3,-1,-23,-1,-12,2,12,-3
97.2.a.b,97,4,0,3,0,1,3,5,-6,3,-3,22,7,-4,-6,3,9,19,-4,1,-7,-11,11,-19,-16,14,-26,4
98.2.a.a,98,1,0,-1,2,0,0,0,4,-6,-2,0,-6,4,2,-6,8,12,6,6,-8,-4,0,-2,8,6,6,10
98.2.a.b,98,2,0,2,0,0,0,-4,0,0,0,-8,4,0,20,0,4,0,-4,0,0,24,-24,0,-8,0,0,0
99.2.a.a,99,1,0,-1,0,-4,-2,-1,-2,2,-6,4,-6,4,-6,-10,6,-8,0,4,-6,8,0,-2,-10,12,0,2
99.2.a.b,99,1,0,-1,0,2,4,-1,-2,2,0,-8,6,-8,6,2,0,-8,-6,4,6,-4,0,-14,-4,-12,6,2
99.2.a.c,99,1,0,1,0,4,-2,1,-2,-2,-6,-4,6,4,-6,10,6,8,0,-4,-6,8,0,-2,-10,-12,0,2
99.2.a.d,99,1,0,2,0,-1,-2,-1,4,2,0,1,0,7,3,8,-6,-8,6,-5,12,-7,3,4,-10,6,-15,-7
100.2.a.a,100,1,0,0,2,0,-2,0,-2,6,-4,-6,6,-4,-2,6,10,6,6,12,2,-2,-12,-2,8,-6,-6,-2
101.2.a.a,101,1,0,0,-2,-1,-2,-2,1,3,-5,1,-4,-9,-2,8,-8,7,-2,-14,4,2,13,8,-9,-4,14,2
101.2.a.b,101,7,0,0,4,-3,2,8,-1,-7,19,-7,-2,7,0,-2,32,-13,-8,16,-6,34,9,-2,15,-22,-22,-28
102.2.a.a,102,1,0,-1,-1,-4,-2,0,-6,-1,4,6,-4,-6,-4,-10,-4,4,-2,12,-4,-12,-6,2,10,-12,-2,6
102.2.a.b,102,1,0,-1,1,0,2,0,2,-1,-4,-6,0,-10,8,6,-4,12,6,-12,8,-4,6,2,-10,12,-18,14
102.2.a.c,102,1,0,1,1,-2,0,-4,-2,1,4,0,-10,8,-2,10,12,0,6,12,-10,-12,0,10,-8,4,-6,-14
103.2.a.a,103,2,0,-3,-2,-3,-2,-3,-3,-9,5,0,-6,0,0,0,-4,-3,-9,15,15,2,3,-15,7,3,-18,10
103.2.a.b,103,6,0,4,0,3,-2,-1,-1,21,-7,12,12,-16,0,14,-6,1,19,3,1,-12,-27,-7,-21,-9,-14,-8
104.2.a.a,104,1,0,0,1,-1,5,-2,-1,-3,-2,4,-6,-4,11,8,-1,9,-12,6,0,6,7,-2,12,-16,-10,-10
104.2.a.b,104,2,0,0,1,3,-1,-2,2,-1,2,-16,-4,8,7,2,15,-13,-2,2,14,-2,-3,-12,16,-12,20,0
105.2.a.a,105,1,0,1,1,1,1,0,-6,2,-8,8,-2,4,-2,-6,4,8,10,4,-2,4,-12,-2,8,-4,-6,-18
105.2.a.b,105,2,0,0,-2,-2,2,4,0,-4,4,8,-4,12,4,-4,0,8,-16,0,-4,-8,20,-16,8,-16,-4,8
106.2.a.a,106,1,0,-1,-1,-4,0,-4,1,5,-7,1,5,-4,1,-10,-10,-6,-1,-6,4,4,15,-8,1,-3,2,17
106.2.a.b,106,1,0,-1,2,1,-2,5,-4,3,-4,-3,-6,7,-6,2,7,4,1,7,2,16,12,-12,-7,-14,17,3
106.2.a.c,106,1,0,1,-2,3,2,-3,-4,3,-4,-9,6,5,-10,6,-1,0,-1,15,-10,-4,12,8,11,-6,9,-13
106.2.a.d,106,1,0,1,1,0,-4,0,5,-3,-1,3,9,-4,5,6,-10,6,-1,6,8,-4,-3,-4,-13,3,18,-7
107.2.a.a,107,2,0,-1,-3,-3,-4,4,-12,-3,2,6,-2,-2,-13,10,9,-14,-6,3,-13,-10,-3,-8,1,3,20,-12
107.2.a.b,107,7,0,-1,3,5,4,-2,18,-1,-4,0,-3,4,25,0,11,-9,8,-19,25,-24,-19,30,-21,12,-22,-4
108.2.a.a,108,1,0,0,0,0,5,0,-7,0,-1,0,0,-4,-1,0,8,0,0,0,-13,11,0,17,-13,0,0,5
109.2.a.a,109,1,0,1,0,3,2,1,0,-8,-5,7,-5,6,2,2,-4,9,12,12,-5,-12,-6,-5,8,-2,1,1
109.2.a.b,109,3,0,-2,-4,-6,-1,-13,-1,3,-5,1,-6,-7,0,-6,9,-10,9,-25,-10,-11,-10,20,-6,-13,-21,-20
109.2.a.c,109,4,0,-1,4,1,-3,12,-7,11,10,-2,1,-5,-12,12,5,-1,-19,27,-7,7,32,-9,-24,21,-16,-11
110.2.a.a,110,1,0,-1,1,-1,5,1,2,3,-7,-6,-3,-7,-7,6,8,6,-3,-6,-1,8,3,2,-10,-6,9,-4
110.2.a.b,110,1,0,1,-1,1,3,1,-6,-7,5,-6,5,-3,3,2,4,-2,-1,-10,7,8,7,14,10,-6,-15,-12
110.2.a.c,110,1,0,1,1,-1,-1,-1,2,-3,-1,6,-9,5,5,-6,8,6,9,6,5,8,-9,-10,14,-6,-15,8
110.2.a.d,110,2,0,-2,-1,2,1,-2,4,-3,7,-6,-3,1,13,0,-8,-6,9,6,-5,16,3,-8,-14,6,3,-14
111.2.a.a,111,3,0,3,-3,4,-4,4,-2,4,-8,-2,16,-8,3,18,-12,-4,-6,6,-6,-16,12,-6,12,0,-4,-14
111.2.a.b,111,4,0,0,4,-2,4,0,4,-2,8,-10,-2,4,-4,12,4,-12,8,-10,-8,-4,-12,12,-8,-20,26,-4
112.2.a.a,112,1,0,0,-2,-4,-1,0,0,-2,2,-8,2,-4,-6,-2,-8,4,-10,-6,4,12,0,-14,8,-6,10,-2
112.2.a.b,112,1,0,0,0,2,1,4,2,-6,-8,0,6,-8,-2,2,4,8,6,0,-6,4,8,10,-16,-8,-6,-6
112.2.a.c,112,1,0,0,2,0,-1,0,-4,6,-2,0,-6,4,2,6,-8,12,6,6,8,4,0,2,-8,6,-6,-10
113.2.a.a,113,1,0,-1,2,2,0,0,2,-6,6,-6,-6,-4,2,-2,6,6,10,6,6,2,-6,2,10,-4,-14,-14
113.2.a.b,113,2,0,2,2,0,8,-4,-4,-4,-6,2,8,4,-8,-4,6,6,-12,6,12,-10,-10,4,10,0,12,-4
113.2.a.c,113,3,0,-2,-5,-1,-10,2,-8,-2,-4,-6,5,-15,-2,1,-2,-7,-5,15,-21,5,14,-11,-5,14,-16,0
113.2.a.d,113,3,0,-2,-1,-3,6,2,8,10,4,4,-7,9,8,-7,12,9,-21,-9,-21,-3,22,-1,1,2,-6,12
114.2.a.a,114,1,0,-1,-1,0,4,4,0,-2,1,-2,-6,6,-8,10,-12,10,2,4,-10,0,-16,-2,10,-16,-2,-10
114.2.a.b,114,1,0,1,-1,2,0,-4,2,-6,-1,-4,-2,4,10,10,4,-4,-10,12,14,-12,8,-6,-4,12,-6,10
114.2.a.c,114,1,0,1,1,0,-4,0,-4,6,1,-6,6,2,-4,6,-4,6,6,-12,14,8,0,14,-10,-12,-6,-10
115.2.a.a,115,1,0,2,0,-1,1,2,-2,3,-2,1,7,-5,11,1,0,0,11,-13,-8,5,5,6,-12,9,4,-14
115.2.a.b,115,2,0,-3,-2,-2,-2,-2,-8,-4,2,-2,-10,4,-6,-6,-6,10,-12,0,2,6,-8,0,22,-4,10,10
115.2.a.c,115,4,0,2,-2,4,-3,4,0,-1,-4,-4,19,-1,-3,13,-6,6,19,23,0,-3,-3,-32,2,-21,0,-18
116.2.a.a,116,1,0,0,-3,3,4,-1,-3,2,4,-6,-1,9,-8,-8,-5,-7,-5,-10,10,8,-2,0,-1,6,12,0
