label,level_norm,level_label,dimension,weight,is_base_change,is_CM,sealed,eigs25
2.2.8.1-94.1-a,94,94.1,1,"[2, 2]",no,no,0,"[-1, 2, 2, -2, -6, 6, 0, -6, -4, 8, 8, 0, -6, 0, -1, -6, -6, -10, -16, 8, 8, 12, 0, 2, -10]"
2.2.8.1-94.2-a,94,94.2,1,"[2, 2]",no,no,0,"[-1, 2, 2, -2, 6, -6, -6, 0, -4, 8, 8, -6, 0, -1, 0, -6, -6, -16, -10, 8, 8, 0, 12, -10, 2]"
2.2.8.1-98.1-a,98,98.1,1,"[2, 2]",yes,no,0,"[-1, 1, 1, -2, 6, 6, 0, 0, -10, -4, -4, 6, 6, -12, -12, 0, 0, 2, 2, 8, 8, -6, -6, -10, -10]"
2.2.8.1-98.2-a,98,98.2,1,"[2, 2]",no,no,0,"[1, 0, 1, -4, -3, -3, 3, 3, -2, -10, 4, 0, 0, 6, 6, -12, 9, -10, 4, 10, 10, 6, 6, -14, -7]"
2.2.8.1-98.2-b,98,98.2,1,"[2, 2]",no,no,0,"[-1, 0, -1, 4, -3, 3, 3, 3, 2, -10, -4, 0, 0, 6, -6, 12, -9, -10, -4, -10, -10, -6, 6, 14, -7]"
2.2.8.1-98.3-a,98,98.3,1,"[2, 2]",no,no,0,"[1, 1, 0, -4, -3, -3, 3, 3, -2, 4, -10, 0, 0, 6, 6, 9, -12, 4, -10, 10, 10, 6, 6, -7, -14]"
2.2.8.1-98.3-b,98,98.3,1,"[2, 2]",no,no,0,"[-1, -1, 0, 4, 3, -3, 3, 3, 2, -4, -10, 0, 0, -6, 6, -9, 12, -4, -10, -10, -10, 6, -6, -7, 14]"
2.2.8.1-100.1-a,100,100.1,1,"[2, 2]",yes,no,0,"[0, 2, 2, -2, -6, -6, 6, 6, 1, -4, -4, 6, 6, -6, -6, -12, -12, 2, 2, 8, 8, -6, -6, 2, 2]"
2.2.8.1-103.1-a,103,103.1,1,"[2, 2]",no,no,0,"[-1, -4, -5, 1, 2, -6, -9, 2, -4, 6, -2, 3, -7, 6, 4, -3, 3, 6, 0, 1, 6, -3, -6, -14, 3]"
2.2.8.1-103.2-a,103,103.2,1,"[2, 2]",no,no,0,"[-1, -5, -4, 1, -6, 2, 2, -9, -4, -2, 6, -7, 3, 4, 6, 3, -3, 0, 6, 6, 1, -6, -3, 3, -14]"
2.2.8.1-112.1-a,112,112.1,1,"[2, 2]",no,no,0,"[0, -1, 4, -2, -6, 6, 0, 0, 2, -8, 4, -6, -6, 0, -12, 12, 0, 2, 14, -8, 4, 6, -6, -10, 2]"
2.2.8.1-112.1-b,112,112.1,1,"[2, 2]",no,no,0,"[0, 1, 0, 2, 2, -6, 8, -8, -6, 0, 8, -6, 10, 0, -8, -16, -8, -6, 2, 0, -8, 2, -6, 10, 2]"
2.2.8.1-112.2-a,112,112.2,1,"[2, 2]",no,no,0,"[0, 4, -1, -2, 6, -6, 0, 0, 2, 4, -8, -6, -6, -12, 0, 0, 12, 14, 2, 4, -8, -6, 6, 2, -10]"
2.2.8.1-112.2-b,112,112.2,1,"[2, 2]",no,no,0,"[0, 0, 1, 2, -6, 2, -8, 8, -6, 8, 0, 10, -6, -8, 0, -8, -16, 2, -6, -8, 0, -6, 2, 2, 10]"
2.2.8.1-119.1-a,119,119.1,1,"[2, 2]",no,no,0,"[2, 0, 1, -4, 0, 1, -4, 2, -4, 0, 6, 6, 6, -4, 6, 12, -8, -8, -2, 16, 0, 6, -18, -18, -14]"
2.2.8.1-119.1-b,119,119.1,1,"[2, 2]",no,no,0,"[-1, 0, 1, 2, -6, 1, 8, 8, 2, 0, 0, -6, -6, 8, 0, 0, -8, -14, 10, -8, 0, -6, -6, 18, -14]"
2.2.8.1-119.1-c,119,119.1,1,"[2, 2]",no,no,0,"[-2, -4, -1, -4, 0, 1, -4, -6, -4, 8, -10, 6, -2, 8, -2, -16, -8, 8, -2, 4, -8, -10, -2, 14, 10]"
2.2.8.1-119.2-a,119,119.2,1,"[2, 2]",no,no,0,"[1, 1, 2, 2, -4, 1, 6, 0, -8, -2, -4, 4, -10, -12, 4, 8, 12, 4, -10, -8, 2, 2, -14, 2, 6]"
2.2.8.1-119.3-a,119,119.3,1,"[2, 2]",no,no,0,"[1, 2, 1, 2, 1, -4, 0, 6, -8, -4, -2, -10, 4, 4, -12, 12, 8, -10, 4, 2, -8, -14, 2, 6, 2]"
2.2.8.1-119.4-a,119,119.4,1,"[2, 2]",no,no,0,"[2, 1, 0, -4, 1, 0, 2, -4, -4, 6, 0, 6, 6, 6, -4, -8, 12, -2, -8, 0, 16, -18, 6, -14, -18]"
2.2.8.1-119.4-b,119,119.4,1,"[2, 2]",no,no,0,"[-1, 1, 0, 2, 1, -6, 8, 8, 2, 0, 0, -6, -6, 0, 8, -8, 0, 10, -14, 0, -8, -6, -6, -14, 18]"
2.2.8.1-119.4-c,119,119.4,1,"[2, 2]",no,no,0,"[-2, -1, -4, -4, 1, 0, -6, -4, -4, -10, 8, -2, 6, -2, 8, -8, -16, -2, 8, -8, 4, -2, -10, 10, 14]"
2.2.8.1-121.1-a,121,121.1,1,"[2, 2]",yes,no,0,"[-2, -2, -2, -5, -2, -2, -1, -1, -9, 7, 7, -8, -8, 8, 8, -3, -3, 4, 4, -10, -10, 15, 15, -7, -7]"
2.2.8.1-124.1-a,124,124.1,1,"[2, 2]",no,no,0,"[0, 4, -2, 0, 4, -2, -8, -6, 6, 1, 4, 10, -6, -4, -10, 4, 0, -10, -8, 0, -6, 14, -12, 12, -8]"
2.2.8.1-124.1-b,124,124.1,1,"[2, 2]",no,no,0,"[0, -4, 2, 4, 0, 6, 0, 6, -10, 1, -4, -6, -6, -12, -6, 12, 0, 14, -4, 8, -10, 6, 0, 8, -4]"
2.2.8.1-124.2-a,124,124.2,1,"[2, 2]",no,no,0,"[0, -2, 4, 0, -2, 4, -6, -8, 6, 4, 1, -6, 10, -10, -4, 0, 4, -8, -10, -6, 0, -12, 14, -8, 12]"
2.2.8.1-124.2-b,124,124.2,1,"[2, 2]",no,no,0,"[0, 2, -4, 4, 6, 0, 6, 0, -10, -4, 1, -6, -6, -6, -12, 0, 12, -4, 14, -10, 8, 0, 6, -4, 8]"
2.2.8.1-126.1-a,126,126.1,1,"[2, 2]",no,no,0,"[-1, 2, 1, 1, -6, 0, 6, 0, -4, -4, 8, -12, 6, 0, 6, 0, -12, 14, -10, -4, -10, 6, 6, -10, -4]"
2.2.8.1-126.1-b,126,126.1,1,"[2, 2]",no,no,0,"[1, 0, -1, 1, 2, -6, 0, -8, 2, 0, 0, 2, 10, 0, -8, -8, -8, -6, 10, 16, -8, 10, -6, -14, 10]"
2.2.8.1-126.1-c,126,126.1,1,"[2, 2]",no,no,0,"[1, -2, 1, -1, -2, 8, -6, 4, -4, -8, -8, -8, 2, 8, -2, -8, 12, -6, 14, 0, -10, 10, 10, -2, 8]"
2.2.8.1-126.2-a,126,126.2,1,"[2, 2]",no,no,0,"[-1, 1, 2, 1, 0, -6, 0, 6, -4, 8, -4, 6, -12, 6, 0, -12, 0, -10, 14, -10, -4, 6, 6, -4, -10]"
2.2.8.1-126.2-b,126,126.2,1,"[2, 2]",no,no,0,"[1, -1, 0, 1, -6, 2, -8, 0, 2, 0, 0, 10, 2, -8, 0, -8, -8, 10, -6, -8, 16, -6, 10, 10, -14]"
2.2.8.1-126.2-c,126,126.2,1,"[2, 2]",no,no,0,"[1, 1, -2, -1, 8, -2, 4, -6, -4, -8, -8, 2, -8, -2, 8, 12, -8, 14, -6, -10, 0, 10, 10, 8, -2]"
2.2.8.1-128.1-a,128,128.1,1,"[2, 2]",no,no,0,"[0, -4, 4, 2, 2, 2, 4, -4, -6, 0, 0, -6, -6, -8, 8, -12, 12, -14, -14, -8, 8, 2, 2, 2, 2]"
2.2.8.1-128.1-b,128,128.1,1,"[2, 2]",no,no,0,"[0, 4, -4, 2, 2, 2, -4, 4, -6, 0, 0, -6, -6, 8, -8, 12, -12, -14, -14, 8, -8, 2, 2, 2, 2]"
2.2.8.1-136.1-a,136,136.1,1,"[2, 2]",no,no,0,"[0, 2, 4, -4, -1, -6, 8, -6, 4, 0, -4, -10, 8, -8, 8, 6, -4, -2, 4, -8, 0, -6, -10, -18, 6]"
2.2.8.1-136.1-b,136,136.1,1,"[2, 2]",no,no,0,"[0, 0, 0, 2, 1, 2, 0, 0, 2, -8, 0, -6, 2, 8, -8, -16, 0, -6, 2, 16, 8, -6, 10, 2, 2]"
2.2.8.1-136.2-a,136,136.2,1,"[2, 2]",no,no,0,"[0, 4, 2, -4, -6, -1, -6, 8, 4, -4, 0, 8, -10, 8, -8, -4, 6, 4, -2, 0, -8, -10, -6, 6, -18]"
2.2.8.1-136.2-b,136,136.2,1,"[2, 2]",no,no,0,"[0, 0, 0, 2, 2, 1, 0, 0, 2, 0, -8, 2, -6, -8, 8, 0, -16, 2, -6, 8, 16, 10, -6, 2, 2]"
2.2.8.1-142.1-a,142,142.1,1,"[2, 2]",no,no,0,"[-1, 2, 2, 1, -6, -3, 3, -3, 8, 2, -4, -9, 0, 3, 9, -1, 12, -4, 2, 17, -10, -12, 0, 2, -4]"
2.2.8.1-142.1-b,142,142.1,1,"[2, 2]",no,no,0,"[1, 1, 1, -4, 4, -3, -4, -4, 5, -10, 4, 0, 7, -8, -1, 1, -5, 11, 11, 3, 10, 6, -15, 7, 0]"
2.2.8.1-142.1-c,142,142.1,1,"[2, 2]",no,no,0,"[1, -2, -2, 5, -2, 3, -1, -1, -4, 2, -8, -3, -8, 13, -7, 1, -8, -16, 14, 15, 10, 0, 0, -2, -12]"
2.2.8.1-142.1-d,142,142.1,1,"[2, 2]",no,no,0,"[-1, -5, -3, -4, 0, 3, -8, 0, -3, 10, 0, -8, 7, -8, 3, 1, 1, 5, -11, -15, 2, 10, -9, -7, -16]"
2.2.8.1-142.2-a,142,142.2,1,"[2, 2]",no,no,0,"[-1, 2, 2, 1, -3, -6, -3, 3, 8, -4, 2, 0, -9, 9, 3, 12, -1, 2, -4, -10, 17, 0, -12, -4, 2]"
2.2.8.1-142.2-b,142,142.2,1,"[2, 2]",no,no,0,"[1, 1, 1, -4, -3, 4, -4, -4, 5, 4, -10, 7, 0, -1, -8, -5, 1, 11, 11, 10, 3, -15, 6, 0, 7]"
2.2.8.1-142.2-c,142,142.2,1,"[2, 2]",no,no,0,"[1, -2, -2, 5, 3, -2, -1, -1, -4, -8, 2, -8, -3, -7, 13, -8, 1, 14, -16, 10, 15, 0, 0, -12, -2]"
2.2.8.1-142.2-d,142,142.2,1,"[2, 2]",no,no,0,"[-1, -3, -5, -4, 3, 0, 0, -8, -3, 0, 10, 7, -8, 3, -8, 1, 1, -11, 5, 2, -15, -9, 10, -16, -7]"
2.2.8.1-144.1-a,144,144.1,1,"[2, 2]",yes,no,0,"[0, 2, 2, -1, -2, -2, -4, -4, 6, -2, -2, 2, 2, 12, 12, -12, -12, -6, -6, -10, -10, -10, -10, -2, -2]"
2.2.8.1-144.1-b,144,144.1,1,"[2, 2]",yes,no,0,"[0, 0, 0, 1, 2, 2, 8, 8, -6, -8, -8, -6, -6, 0, 0, -8, -8, 10, 10, 8, 8, -6, -6, 2, 2]"
2.2.8.1-146.1-a,146,146.1,1,"[2, 2]",no,no,0,"[-1, 1, -2, 2, 3, 6, 2, -4, -1, 6, -1, -10, 8, 3, -8, -4, 6, -1, -4, -1, -11, 7, -1, -10, 0]"
2.2.8.1-146.1-b,146,146.1,1,"[2, 2]",no,no,0,"[1, -1, 2, -2, 3, -6, 6, 0, -7, 2, -1, -6, 0, 3, -12, 12, 6, 1, 8, -1, 5, 9, 9, -10, 8]"
2.2.8.1-146.2-a,146,146.2,1,"[2, 2]",no,no,0,"[-1, -2, 1, 2, 6, 3, -4, 2, -1, -1, 6, 8, -10, -8, 3, 6, -4, -4, -1, -11, -1, -1, 7, 0, -10]"
2.2.8.1-146.2-b,146,146.2,1,"[2, 2]",no,no,0,"[1, 2, -1, -2, -6, 3, 0, 6, -7, -1, 2, 0, -6, -12, 3, 6, 12, 8, 1, 5, -1, 9, 9, 8, -10]"
